theta,desired,actual
11980,6736,7635
11985,6652,7616
11990,6777,7596
11995,7081,7567
12000,7489,7529
12005,7899,7491
12010,8210,7481
12015,8346,7481
12020,8272,7500
12025,8007,7538
12030,7617,7567
12035,7197,7596
12040,6852,7616
6545,8345,7337
6550,8191,7366
6555,7844,7404
6560,7401,7433
6565,6986,7472
6570,6713,7481
6575,6660,7472
6580,6840,7443
6585,7204,7414
6590,7650,7385
6595,8055,7356
6600,8304,7356
6605,8330,7375
6610,8124,7414
6615,7744,7433
6620,7296,7481
6625,6905,7509
6630,6679,7509
6635,6682,7491
6640,6912,7481
6645,7306,7433
6650,7754,7414
6655,8131,7385
6660,8332,7385
6665,8301,7414
6670,8047,7433
6675,7641,7481
6680,7195,7500
6685,6834,7529
6690,6658,7529
6695,6717,7500
6700,6994,7481
6705,7411,7443
6710,7853,7414
6715,8197,7404
6720,8346,7414
6725,8260,7433
6730,7961,7462
6735,7535,7491
6740,7098,7538
6745,6773,7538
6750,6651,7538
6755,6765,7509
6760,7083,7481
6765,7518,7452
6770,7947,7423
6775,8252,7414
6780,8347,7423
6785,8206,7452
6790,7869,7481
6795,7428,7519
6800,7007,7548
6805,6724,7558
6810,6656,7538
6815,6824,7529
6820,7179,7491
6825,7624,7462
6830,8034,7433
6835,8295,7423
6840,8335,7433
6845,8142,7472
6850,7770,7500
6855,7323,7538
6860,6925,768
6865,6687,7538
6870,6675,7529
6875,6893,7491
6880,7280,7452
6885,7728,7423
6890,8112,7404
6895,8326,7404
6900,8309,7414
6905,8067,7443
6910,7667,7481
6915,7220,7519
6920,6851,7538
6925,6662,7538
6930,6707,7519
6935,6973,7491
6940,7385,7462
6945,7829,7433
6950,8181,7414
6955,8344,7414
6960,8271,7433
6965,7984,7472
6970,7561,7500
6975,7122,7538
6980,6787,7548
6985,6651,7538
6990,6752,7529
6995,7060,7491
7000,7491,7462
7005,7924,7433
7010,8239,7423
7015,8348,7433
7020,8221,7462
7025,7892,7491
7030,7455,7529
7035,7029,7548
7040,6735,7558
7045,6654,7548
7050,6808,7529
7055,7155,7491
7060,7597,7462
7065,8013,7433
7070,8286,7433
7075,8339,7433
7080,8159,7462
7085,7795,7491
7090,7349,7538
7095,6945,7558
7100,6695,7558
7105,6669,7538
7110,6875,7519
7115,7254,7491
7120,7702,7452
7130,8320,7606
7135,8317,7616
7140,8087,7664
7145,7693,7703
7150,7245,7732
7155,6869,7751
7160,6667,7742
7165,6698,7713
7170,6952,7683
7175,7358,7654
7180,7804,7616
7185,8165,3200
7190,8341,7606
7195,8282,7616
7200,8005,7654
7205,7588,7683
7210,7146,7713
7215,6802,7722
7220,6653,7713
7225,6739,7683
7230,7037,7664
7235,7464,7616
7240,7901,7577
7245,8226,7558
7250,8348,7558
7255,8235,7577
7260,7916,7616
7265,7482,7645
7270,7052,7674
7275,6747,7674
7280,6652,7664
7285,6793,7625
7290,7130,7606
7295,7571,7567
7300,7991,7538
7305,8275,7538
7310,8343,7538
7315,8176,7558
7320,7820,7587
7325,7375,7625
7330,6965,7645
7335,6704,7645
7340,6664,7625
7345,6857,7606
7350,7229,7567
7355,7676,7538
7360,8074,7500
7365,8312,7500
7370,8324,7519
7375,8106,7538
7380,7719,7567
7385,7271,7606
7390,6887,7625
7395,6673,7616
7400,6690,7606
7405,6932,7587
7410,7332,7538
7415,7779,7509
7420,8148,7481
7425,8336,7481
7430,8292,7500
7435,8027,7538
7440,7615,7558
7445,7170,7596
7450,6818,7616
7455,6655,7606
7460,6728,7577
7465,7015,7558
7470,7437,7529
7475,7877,7491
7480,8211,7472
7485,8348,7481
7490,8248,7491
7495,7939,7519
7500,7508,7548
7505,7075,7577
7510,6760,7587
7515,6651,7577
7520,6778,7558
7525,7106,7538
7530,7544,7491
7535,7969,7472
7540,8264,7452
7545,8345,7462
7550,8191,7491
7555,7845,7519
7560,7402,7548
7565,6986,7577
7570,6714,7577
7575,6660,7577
7580,6840,7548
7585,7204,7519
7590,7650,7481
7595,8054,7551
7600,8304,7452
7605,8330,7462
7610,8124,7491
7615,7745,7529
7620,7297,7558
7625,6906,7577
7630,6680,7577
7635,6682,7567
7640,6912,7538
7645,7306,7500
7650,7753,7472
7655,8130,7443
7660,8332,7443
7665,8301,7462
7670,8047,7491
7675,7641,7519
7680,7195,7548
7685,6834,7577
7690,6659,7567
7695,6717,7548
7700,6993,7538
7705,7411,7491
7710,7853,7462
7715,8196,7433
7720,8346,7443
7725,8260,7462
7730,7962,7491
7735,7535,7529
7740,7098,7548
7745,6773,7567
7750,6651,7558
7755,6764,7538
7760,7083,7500
7765,7517,7472
7770,7947,7433
7775,8252,7433
7780,8347,7443
7785,8207,7472
7790,7869,7500
7795,7429,7538
7800,7008,7567
7805,6724,7567
7810,6656,7558
7815,6823,7538
7820,7179,7500
7825,7623,7472
7830,8034,7433
7835,8295,7433
7840,8335,7452
7845,8142,7481
7850,7770,7509
7855,7323,7538
7860,6925,15488
7865,6687,7548
7870,6675,7538
7875,6893,7500
7880,7280,7462
7885,7728,7433
7890,8112,7414
7895,8326,7414
7900,8310,7423
7905,8068,7452
7910,7667,7481
7915,7221,7519
7925,6663,7366
7930,6707,7346
7935,6972,7308
7940,7384,7269
7945,7828,15432
7950,8181,7231
7955,8344,7240
7960,8271,7260
7965,7984,7288
7970,7562,7327
7975,7122,7366
7985,6651,7211
7990,6751,7202
7995,7060,7163
8000,7490,7125
8005,7924,7105
8010,8239,7105
8015,8348,7125
8020,8221,7144
8025,7893,7182
8030,7455,7221
8035,7030,7260
8040,6735,15360
8045,6654,7269
8050,6807,7250
8055,7154,7211
8060,7597,7182
8065,8012,7163
8070,8285,7173
8075,8339,7192
8080,8159,7221
8085,7796,7260
8090,7349,7288
8095,6945,7317
8100,6695,7337
8105,6669,7337
8110,6874,7317
8115,7254,7288
8120,7702,7260
8125,8093,7250
8130,8319,7250
8135,8317,7269
8140,8087,7298
8145,7694,7337
8150,7246,7366
8155,6869,7404
8160,6667,7414
8165,6698,7394
8170,6951,7366
8175,7358,7337
8180,7803,7308
8185,8165,7298
8190,8340,7308
8195,8282,7337
8200,8006,7366
8205,7589,7404
8210,7146,7433
8215,6803,7462
8220,6653,7462
8225,6739,7433
8230,7037,7414
8235,7464,7375
8240,7900,7346
8245,8225,7346
8250,8348,7356
8255,8235,7375
8260,7917,7414
8265,7482,7443
8270,7053,7481
8275,6747,7491
8280,6652,7491
8285,6792,7472
8290,7130,7433
8295,7570,7404
8300,7991,7366
8305,8275,7375
8310,8343,7385
8315,8176,7414
8320,7821,7452
8325,7376,7481
8330,6966,7519
8335,6704,7519
8340,6664,7509
8345,6857,7481
8350,7228,7452
8355,7676,7423
8365,8312,7577
8370,8324,7587
8375,8106,7625
8380,7720,7664
8385,7272,7703
8390,6887,7722
8395,6673,7722
8400,6689,7693
8405,6931,7674
8410,7331,7635
8415,7778,7606
8420,8148,16380
8425,8336,7567
8430,8292,7577
8435,8027,7606
8440,7615,7625
8445,7171,7664
8450,6818,7674
8455,6655,7664
8460,6727,7635
8465,7015,7616
8470,7437,7577
8475,7876,7538
8480,8211,7519
8485,8348,7519
8490,8248,7538
