theta,desired,actual
19249,6653,7577
19254,6716,7548
19259,6950,7529
19264,7304,7491
19269,7700,7462
19274,8053,7433
19279,8285,7433
19284,8346,7443
19289,8222,7472
19294,7941,7500
19299,7564,7538
19304,7173,7577
19309,6853,7577
7105,6735,7452
7110,6652,7443
7115,6779,7423
7120,7083,7385
7125,7491,7356
7130,7901,16149
7135,8212,7317
7140,8346,7337
7145,8271,7366
7150,8005,7394
7155,7614,7423
7160,7195,7462
7170,6667,7298
7175,6690,7288
7180,6913,7250
7185,7281,7202
7190,7703,7173
7195,8075,7163
7200,8304,7182
7205,8335,7202
7210,8159,7231
7215,7820,7260
7220,7401,7298
7225,7007,7337
7230,6735,7356
7235,6652,7356
7240,6778,7337
7245,7083,7308
7250,7491,7269
7255,7901,10496
7260,8212,7269
7265,8346,7288
7270,8271,7327
7275,8005,7366
7280,7614,7404
7285,7195,7433
7295,6667,7288
7300,6690,7279
7305,6912,7250
7310,7280,7192
7315,7703,14843
7320,8075,7154
7325,8304,7163
7330,8335,7192
7335,8159,7221
7340,7820,7250
7345,7401,7288
7350,7007,7317
7355,6735,7346
7360,6652,7337
7365,6778,7327
7370,7083,7298
7375,7491,7269
7380,7901,16328
7385,8212,7240
7390,8346,7260
7395,8271,7279
7400,8005,7317
7405,7614,7356
7410,7195,7394
7415,6851,15488
7420,6667,7414
7425,6690,7385
7430,6912,7346
7435,7280,7317
7440,7703,7288
7445,8075,7269
7450,8304,7269
7455,8335,7288
7460,8159,7327
7465,7820,7366
7470,7401,7404
7475,7007,7433
7480,6735,7443
7485,6652,7433
7490,6778,7414
7495,7083,7385
7500,7491,7346
7505,7901,7317
7510,8212,7308
7515,8346,7327
7520,8271,7356
7525,8005,7385
7530,7614,7433
7535,7195,7462
7540,6851,7481
7545,6667,7481
7550,6690,7472
7555,6912,7433
7560,7280,7414
7565,7703,7366
7570,8074,7346
7575,8304,7346
7580,8335,7366
7585,8159,7404
7590,7820,7433
7595,7401,7472
7600,7007,7491
7605,6735,7500
7610,6652,7500
7615,6778,7481
7620,7083,7433
7625,7491,7414
7630,7901,7366
7635,8212,7366
7640,8346,7375
7645,8271,7414
7650,8005,7433
7655,7614,7472
7660,7195,7500
7665,6851,7529
7670,6667,7529
7675,6690,7509
7680,6912,7481
7685,7280,7443
7690,7702,7414
7700,8304,7567
7705,8335,7577
7710,8159,7625
7715,7820,7664
7720,7401,7703
7730,6735,7538
7735,6652,7538
7740,6778,7491
7745,7083,7452
7750,7491,7414
7755,7901,7375
7760,8212,7366
7765,8346,7375
7770,8271,7414
7775,8005,7433
7780,7614,7481
7785,7195,7500
7790,6851,7529
7795,6667,7529
7800,6690,7500
7805,6912,7481
7810,7280,7443
7815,7702,7414
7820,8074,7385
7825,8304,7385
7830,8335,7414
7835,8159,7433
7840,7820,7472
7845,7402,7500
7850,7007,7529
7855,6735,7538
7860,6652,7529
7865,6778,7500
7870,7083,7481
7875,7491,7433
7880,7901,7414
7885,8212,7404
7890,8346,7414
7895,8271,7433
7900,8005,7472
7905,7614,7500
7910,7195,7538
7915,6851,7548
7920,6667,7548
7925,6690,7538
7930,6912,7500
7935,7280,7472
7940,7702,7433
7945,8074,1910
7950,8304,7414
7955,8335,7433
7960,8159,7462
7965,7820,7491
7970,7402,7529
7975,7008,7548
7980,6735,7558
7985,6652,7538
7990,6778,7529
7995,7083,7491
8000,7491,7462
8005,7901,7423
8010,8212,7414
8015,8346,7433
8020,8271,7452
8025,8005,7481
8030,7614,7519
8035,7195,7538
8040,6851,7567
8045,6667,7558
8050,6690,7538
8055,6912,7519
8060,7280,7481
8065,7702,7452
8075,8304,7606
8080,8335,7616
8085,8159,7654
8090,7820,7693
8095,7402,7742
8105,6735,7577
8110,6652,7567
8115,6778,7529
8120,7083,7481
8125,7491,7433
8130,7901,7414
8135,8212,7404
8140,8346,7414
8145,8271,7433
8150,8005,7462
8155,7614,7491
8160,7195,7538
8165,6851,7538
8170,6667,7538
8175,6690,7529
8180,6912,7500
8185,7280,7462
8190,7702,7433
8200,8304,7577
8205,8335,7596
8210,8159,7645
8215,7820,7683
8220,7402,7722
8225,7008,7742
8230,6735,7742
8235,6652,7722
8240,6778,7693
8245,7083,7664
8250,7491,7625
8255,7901,7587
8260,8211,7567
8265,8346,7567
8270,8271,7577
8275,8005,7616
8280,7615,7645
8285,7195,7683
8290,6851,7683
8295,6667,7674
8300,6690,7654
8305,6912,7616
8310,7280,7577
8315,7702,7538
8320,8074,12160
8325,8304,7529
8330,8335,7538
8335,8159,7577
8340,7820,7616
8345,7402,7654
8355,6735,7491
8360,6652,7481
8365,6778,7433
8370,7083,7404
8375,7491,7366
8380,7901,3968
8385,8211,7337
8390,8346,7356
8395,8271,7385
8400,8006,7423
8405,7615,7462
8410,7195,7500
8420,6667,7337
8425,6690,7317
8430,6912,7279
8435,7280,7250
8440,7702,7211
8445,8074,7202
8450,8304,7202
8455,8335,7231
8460,8159,7260
8465,7820,7288
8470,7402,7337
8475,7008,7366
8480,6735,7385
8485,6652,7375
8490,6778,7366
8495,7083,7327
8500,7491,7298
8505,7901,15461
8510,8211,7269
8515,8346,7288
8520,8271,7308
8525,8006,7346
8530,7615,7385
8535,7195,7414
Timeout by 4,,
8540,6851,2432
8545,6667,7423
8550,6689,7414
8555,6912,7366
8560,7280,7337
8565,7702,7298
8570,8074,7279
8575,8304,7288
8580,8335,7308
8585,8159,7337
8590,7820,7366
8595,7402,7414
8600,7008,7433
8605,6735,7452
8610,6652,7433
8615,6778,7414
8620,7083,7385
8625,7491,7346
8630,7901,7317
8635,8211,7317
8640,8346,7327
8645,8271,7356
8650,8006,7385
8655,7615,7423
8660,7195,7462
8670,6667,7298
8675,6689,7288
8680,6912,7250
8685,7280,7202
8690,7702,7182
8695,8074,7163
8700,8304,7182
8705,8335,7192
8710,8159,7231
8715,7820,7260
8720,7402,7298
8725,7008,7337
8730,6735,7356
8735,6652,7356
8740,6778,7337
8745,7083,7298
8750,7490,7279
8755,7901,7250
8760,8211,7250
8765,8346,7269
8770,8271,7288
8775,8006,7327
8780,7615,7366
8785,7195,7414
8790,6851,16128
8795,6667,7414
8800,6689,7404
8805,6912,7366
8810,7280,7327
