theta,desired,actual
30177,6939,7279
30182,7046,7240
30187,7164,7192
30192,7290,7163
30197,7421,7154
30202,7554,7154
30207,7686,7182
30212,7813,7202
30217,7933,7240
30222,8041,7279
30227,8137,7317
30232,8217,7356
30237,8279,7404
22324,8259,8313
22329,8247,8313
22334,8234,8303
22339,8220,8294
22344,8206,8284
22349,8191,8274
22354,8175,8265
22359,8158,8245
22364,8141,8235
22369,8123,8226
22374,8105,8216
22379,8086,8197
22384,8066,8197
22389,8046,8168
22394,8026,8158
22399,8005,8139
22404,7983,8119
22409,7961,8110
22414,7938,8081
22419,7915,8061
22424,7892,8051
22429,7868,8032
22434,7844,8003
22439,7819,7984
22444,7794,7955
22449,7769,7935
22454,7744,7916
22459,7718,7897
22464,7692,7867
22469,7666,7848
22474,7640,7819
22479,7613,7800
22484,7587,7771
22489,7560,7751
22494,7534,7722
22499,7507,7683
22504,7480,7674
22509,7454,7645
22514,7427,7606
22519,7401,7577
22524,7374,7558
22529,7348,7529
22534,7322,7509
22539,7296,7481
22544,7270,7452
22549,7245,7433
22554,7219,7414
22559,7194,7366
22564,7169,7337
22569,7145,7317
22574,7121,7288
22579,7097,7269
22584,7074,7250
22589,7051,7231
22594,7029,7192
22599,7007,7173
22604,6985,7144
22609,6964,7125
22614,6944,7115
22619,6924,7086
22624,6905,7057
22629,6886,7038
22634,6868,7009
22639,6850,6999
22644,6834,6970
22649,6817,6951
22654,6802,6932
22659,6787,6903
22664,6773,6903
22669,6759,6884
22674,6747,6864
22679,6735,6845
22684,6724,6826
22689,6713,6807
22694,6704,6807
22699,6695,6778
22704,6687,6758
22709,6679,6758
22714,6673,6749
22719,6667,6739
22724,6662,6720
22729,6658,6720
22734,6655,6701
22739,6653,6701
22744,6651,6681
22749,6651,6681
22754,6651,6672
22759,6652,6672
22764,6654,6672
22769,6656,6662
22774,6660,6662
22779,6664,6662
22784,6669,6662
22789,6675,6662
22794,6682,6662
22799,6690,6662
22804,6698,6662
22809,6707,6662
22814,6717,6662
22819,6728,6672
22824,6740,6672
22829,6752,6681
22834,6765,6691
22839,6779,6701
22844,6793,6720
22849,6808,6720
22854,6824,6729
22859,6840,6749
22864,6857,6749
22869,6875,6768
22874,6894,6787
22879,6913,6807
22884,6932,6807
22889,6952,6826
22894,6973,6845
22899,6994,6864
22904,7016,6874
22909,7038,6903
22914,7060,6913
22919,7083,6932
22924,7107,6951
22929,7131,6970
22934,7155,6999
22939,7179,7019
22944,7204,7105
22949,7229,7067
22954,7255,7086
22959,7281,7105
22964,7306,7125
22969,7332,7154
22974,7359,7182
22979,7385,7202
22984,7411,7231
22989,7438,7260
22994,7465,7288
22999,7491,7298
23004,7518,7327
23009,7545,7356
23014,7571,7385
23019,7598,7414
23024,7624,7443
23029,7650,7472
23034,7677,7491
23039,7703,7519
23044,7728,7538
23049,7754,7577
23054,7779,7596
23059,7804,7616
23064,7829,7654
23069,7853,7674
23074,7877,7703
23079,7901,7722
23084,7924,7751
23089,7947,7780
23094,7970,7800
23099,7992,7819
23104,8013,7848
23109,8034,7867
23114,8055,7906
23119,8074,7926
23124,8094,7935
23129,8113,7964
23134,8131,7984
23139,8148,8003
23144,8165,8032
23149,8181,8032
23154,8197,8071
23159,8212,8090
23164,8226,8110
23169,8239,8119
23174,8252,8139
23179,8264,8158
23184,8275,8177
