theta,desired,actual
11570,6714,7674
11575,6659,7654
11580,6838,7625
11585,7201,7596
11590,7647,7558
11595,8052,7538
11600,8303,7529
11605,8330,7538
11610,8126,7558
11615,7747,7577
11620,7299,7616
11625,6907,7635
11630,6680,7635
7770,6839,7654
7775,7228,7625
7780,7701,7587
7785,8112,7558
7790,8331,7548
7795,8292,7567
7800,8006,7587
7805,7562,7616
7810,7099,7645
7815,6760,7654
7820,6652,7645
7825,6807,7616
7830,7178,7587
7835,7649,7548
7840,8074,7529
7845,8319,7519
7850,8310,7529
7855,8048,7548
7860,7615,7577
7865,7147,7616
7870,6788,7616
7875,6651,7616
7880,6778,7587
7885,7129,7558
7890,7596,7529
7895,8033,7500
7900,8304,7491
7905,8324,7500
7910,8088,7529
7915,7668,7558
7920,7196,7587
7925,6818,7616
7930,6653,7606
7935,6751,7577
7940,7082,7558
7945,7543,7529
7950,7991,7491
7955,8285,7491
7960,8335,7500
7965,8125,7529
7970,7720,7548
7975,7246,7577
7980,6852,7616
7985,6659,7606
7990,6727,7577
7995,7037,7558
8000,7490,7529
8005,7946,7491
8010,8263,7481
8015,8343,7481
8020,8160,7500
8025,7771,7538
8030,7298,7567
8035,6887,7587
8040,6668,7587
8045,6707,7577
8050,6993,7548
8055,7437,7519
8060,7900,7491
8065,8239,7472
8070,8347,7472
8075,8192,7491
8080,7821,7519
8085,7350,7548
8090,6926,7577
8095,6680,7577
8100,6689,7567
8105,6951,7538
8110,7383,7509
8115,7852,7481
8120,8211,7452
8125,8348,7452
8130,8221,7481
8135,7870,7500
8140,7403,7538
8145,6966,7558
8150,6695,7567
8155,6675,7548
8160,6911,7538
8165,7331,7491
8170,7803,7462
8175,8180,7433
8180,8346,7433
8185,8248,7462
8190,7917,7491
8195,7456,7529
8200,7008,7548
8205,6714,7558
8210,6664,7538
8215,6874,7529
8220,7279,7491
8225,7752,7472
8230,8147,7433
8235,8340,7433
8240,8272,7462
8245,7963,7481
8250,7509,7519
8255,7053,7538
8260,6736,7558
8265,6656,7538
8270,6839,7529
8275,7228,7491
8280,7701,7462
8290,8331,7519
8295,8292,7538
8300,8006,7577
8305,7563,7616
8310,7099,7654
8315,6760,7664
8320,6652,7654
8325,6807,7625
8330,7178,7596
8335,7649,7558
8340,8073,7538
8345,8319,7529
8350,8310,7538
8355,8048,7558
8360,7616,7587
8365,7147,7616
8370,6788,7635
8375,6651,7625
8380,6778,7606
8385,7129,7577
8390,7596,7538
8395,8033,7519
8400,8304,7500
8405,8324,7519
8410,8088,7538
8415,7668,7567
8420,7196,7606
8425,6819,7616
8430,6653,7616
8435,6751,7596
8440,7082,7567
8445,7543,7538
8450,7990,7509
8455,8285,7491
8460,8335,7500
8465,8125,7529
8470,7720,7558
8475,7247,7587
8480,6852,7616
8485,6659,7616
8490,6727,7587
8495,7036,7567
8500,7490,7538
8505,7946,7500
8510,8263,7491
8515,8343,7491
8520,8160,7509
8525,7771,7538
8530,7298,7577
8535,6888,7596
8540,6668,7596
8545,6707,7577
8550,6993,7548
8555,7436,7529
8560,7900,7491
8565,8238,7472
8570,8347,7481
8575,8192,7491
8580,7821,7529
8585,7350,7558
8590,6926,7577
8595,6680,7577
8600,6689,7567
8605,6951,7538
8610,7383,7519
8615,7852,7481
8620,8211,7462
8625,8348,7462
8630,8222,7481
8635,7870,7519
8640,7403,7538
8645,6966,7577
8650,6695,7577
8655,6675,7567
8660,6911,7538
8665,7331,7509
8670,7803,7481
8675,8180,7452
8680,8346,7452
8685,8248,7472
8690,7917,7491
8695,7456,7529
8700,7009,7558
8705,6714,7558
8710,6664,7548
8715,6874,7529
8720,7279,7491
8725,7752,7462
8730,8147,7433
8735,8340,7433
8740,8272,7452
8745,7963,7481
8750,7510,7519
8755,7053,7538
8760,6736,7548
8765,6656,7538
8770,6839,7519
8775,7228,7491
8780,7701,7452
8785,8111,7433
8790,8331,7433
8795,8292,7443
8800,8007,7472
8805,7563,7500
8810,7100,7538
8815,6761,7548
8820,6652,7538
8825,6807,7529
8830,7178,7500
8835,7649,7462
8840,8073,7433
8845,8319,7433
8850,8310,7443
8855,8048,7472
8860,7616,7500
8865,7147,7538
8870,6788,7548
8875,6651,7548
8880,6777,7538
8885,7129,7500
8890,7596,7472
8895,8033,7433
8900,8304,7433
8905,8324,7452
8910,8088,7481
8915,7669,7500
8920,7197,7538
8925,6819,7558
8930,6653,7558
8935,6751,7538
8940,7082,7519
8945,7543,7481
8950,7990,7452
8955,8285,7443
8960,8335,7452
8965,8125,7481
8970,7721,7509
8975,7247,7538
8980,6852,7567
8985,6659,7567
8990,6727,7538
8995,7036,7519
9000,7489,7481
9005,7946,7462
9010,8263,7443
9015,8343,7452
9020,8160,7481
9025,7772,7509
9030,7298,7538
9035,6888,7567
9040,6668,7577
9045,6707,7558
9050,6992,7538
9055,7436,7500
9060,7899,7472
9065,8238,7452
