theta,desired,actual
0,7500,0
5,7632,7308
10,7762,7279
15,7885,7288
20,7998,7317
25,8100,7346
30,8186,7385
35,8256,7423
40,8307,7472
44,8338,7509
49,8348,7548
54,8338,7587
59,8307,7625
65,8256,7674
70,8186,7713
75,8100,7751
80,7998,7790
85,7885,7829
90,7762,7867
95,7632,7877
100,7500,7877
105,7367,7867
110,7237,7829
115,7114,7800
120,7001,7761
125,6899,7722
130,6813,7674
135,6743,7635
140,6692,7606
145,6661,7558
150,6651,7529
155,6661,7481
160,6692,7433
164,6743,7394
169,6813,7346
174,6899,7308
179,7000,7269
184,7114,7231
189,7237,7192
194,7367,7173
199,7499,7173
204,7632,7182
209,7762,7202
214,7885,7250
219,7998,7279
224,8100,7308
229,8186,7356
234,8256,7394
239,8307,7433
244,8338,7481
249,8348,7519
254,8338,7548
259,8307,7596
264,8256,7635
269,8186,7683
274,8100,7722
279,7999,7761
284,7885,7809
289,7762,7838
294,7633,7867
299,7500,7858
304,7367,7848
309,7237,7809
314,7114,7780
319,7001,7751
324,6899,7713
329,6813,7674
334,6743,7625
339,6692,7577
344,6661,7538
349,6651,7500
354,6661,7462
359,6692,7423
364,6743,7385
369,6813,7337
374,6899,7298
379,7000,7260
384,7114,7221
389,7237,7182
394,7366,7163
399,7499,7163
404,7632,7173
409,7761,7192
414,7885,7231
419,7998,7260
424,8099,7298
429,8186,7337
434,8256,7385
439,8307,7423
444,8338,7462
449,8348,7500
454,8338,7538
459,8307,7587
464,8256,7625
469,8186,7674
474,8100,7713
479,7999,7751
484,7885,7790
489,7762,7829
494,7633,7838
499,7500,7848
504,7367,7838
509,7238,7809
514,7114,7771
519,7001,7742
524,6900,7693
529,6813,7664
534,6743,7616
539,6692,7577
544,6661,7538
549,6651,7491
554,6661,7462
559,6692,7414
564,6743,7375
569,6812,7327
574,6899,7288
579,7000,7250
584,7114,7211
589,7237,7182
594,7366,7154
599,7499,7154
604,7632,7163
609,7761,7192
614,7884,7231
619,7998,7269
624,8099,7298
629,8186,7346
634,8256,7385
639,8307,7423
644,8338,7462
649,8348,7500
654,8338,7548
659,8307,7587
664,8256,7625
669,8187,7674
674,8100,7713
679,7999,7751
684,7885,7790
689,7762,7829
694,7633,7848
699,7500,7848
704,7367,7838
709,7238,7809
714,7115,7771
719,7001,7742
724,6900,7693
729,6813,7654
734,6743,7616
739,6692,7577
744,6661,7538
749,6651,7500
754,6661,7462
759,6692,7414
764,6743,7366
769,6812,7327
774,6899,7298
779,7000,7250
784,7114,7211
789,7237,7182
794,7366,7154
799,7499,7154
804,7632,7173
809,7761,7192
814,7884,7231
819,7998,7269
824,8099,7298
829,8186,7346
834,8256,7385
839,8307,7423
844,8338,7472
849,8348,7509
854,8338,7548
859,8307,7587
864,8256,7625
869,8187,7674
874,8100,7713
879,7999,7751
884,7886,7780
889,7762,7829
894,7633,7848
899,7500,7848
904,7367,7838
909,7238,7809
914,7115,7771
919,7001,7742
924,6900,7693
929,6813,7664
934,6744,7625
939,6692,7577
944,6661,7538
949,6651,7500
954,6661,7462
959,6692,7414
964,6743,7366
969,6812,7337
974,6899,7298
979,7000,7250
984,7113,7202
989,7236,7182
994,7366,7163
999,7499,7154
1004,7631,7173
1009,7761,7192
1014,7884,7231
1019,7998,7260
1024,8099,7298
1029,8186,7337
1034,8255,7385
1039,8307,7423
1044,8338,7462
1049,8348,7500
1054,8338,7538
1059,8307,7577
1064,8256,7625
1069,8187,7674
1074,8100,7713
1079,7999,7751
1084,7886,7790
1089,7763,7800
1094,7633,7848
1099,7500,7848
1104,7368,7829
1109,7238,7809
1114,7115,7780
1119,7001,7751
1124,6900,7693
1129,6813,7664
1134,6744,7616
1139,6692,7577
1144,6661,7538
1149,6651,7491
1154,6661,7462
1159,6692,7414
1164,6743,7375
1169,6812,7337
1174,6899,7288
1179,7000,7250
1184,7113,7202
1189,7236,7173
1194,7366,7154
1199,7499,7154
1204,7631,7173
1209,7761,7192
1214,7884,7231
1219,7998,7260
1224,8099,7298
1229,8186,7337
1234,8255,7385
1239,8306,7423
1244,8338,7462
1249,8348,7500
1254,8338,7538
1259,8307,7577
1264,8256,7625
1269,8187,7674
