theta,desired,actual
10555,6805,7538
10560,6652,7538
10565,6854,7538
10570,7327,7500
10575,7873,7481
10580,8262,7452
10585,8331,7452
10590,8051,7481
10595,7539,7491
10600,7011,7529
10605,6688,7538
10610,6705,7538
10615,7056,7509
8825,8179,7443
8830,8347,7433
8835,8127,7462
8840,7618,7491
8845,7055,7529
8850,6696,7538
8855,6706,7538
8860,7080,7519
8865,7646,7481
8870,8146,7462
8875,8348,7462
8880,8161,7481
8885,7671,7500
8890,7102,7538
8895,6715,7548
8900,6688,7548
8905,7034,7538
8910,7593,7500
8915,8110,7481
8920,8346,7481
8925,8194,7491
8930,7723,7519
8935,7149,7538
8940,6737,7567
8945,6674,7567
8950,6990,7538
8955,7540,7519
8960,8071,7491
8965,8340,7481
8970,8223,7491
8975,7774,7519
8980,7199,7548
8985,6762,7567
8990,6663,7567
8995,6949,7548
9000,7487,7538
9005,8031,7491
9010,8331,7481
9015,8249,7491
9020,7824,7509
9025,7249,7538
9030,6790,7567
9035,6656,7567
9040,6909,7538
9045,7434,7529
9050,7988,7491
9055,8318,7481
9060,8273,7481
9065,7872,7500
9070,7301,7538
9075,6820,7548
9080,6652,7548
9085,6872,7538
9090,7381,7509
9095,7944,7481
9100,8303,7462
9105,8293,7472
9110,7919,7491
9115,7353,7519
9120,6854,7538
9125,6651,7538
9130,6837,7529
9135,7328,7500
9140,7897,7481
9145,8284,7452
9150,8311,7452
9155,7965,7481
9160,7406,7500
9165,6890,7538
9170,6653,7538
9175,6805,7519
9180,7276,7491
9185,7849,7462
9190,8262,7443
9195,8325,7443
9200,8009,7472
9205,7459,7491
9210,6928,7519
9215,6659,7529
9220,6776,7519
9225,7225,7491
9230,7800,7452
9235,8237,7433
9240,8336,7433
9245,8050,7452
9250,7512,7481
9255,6968,7509
9260,6668,7519
9265,6750,7519
9270,7175,7491
9275,7750,7462
9280,8209,7433
9285,8343,7433
9290,8090,7462
9295,7566,7481
9300,7011,7519
9305,6681,7538
9310,6726,7529
9315,7126,7500
9320,7698,7481
9325,8179,7452
9330,8347,7452
9335,8127,7472
9340,7619,7491
9345,7056,7538
9350,6696,7538
9355,6706,7538
9360,7079,7519
9365,7646,7491
9370,8145,7462
9375,8348,7462
9380,8162,7481
9385,7671,7500
9390,7102,7538
9395,6715,7548
9400,6688,7548
9405,7034,7538
9410,7593,7500
9415,8109,7481
9420,8346,7481
9425,8194,7491
9430,7723,7519
9435,7150,7538
9440,6737,7567
9445,6674,7567
9450,6990,7538
9455,7540,7519
9460,8071,7491
9465,8340,7481
9470,8223,7491
9475,7774,7519
9480,7199,7538
9485,6762,7567
9490,6663,7567
9495,6948,7548
9500,7486,7529
9505,8031,7491
9510,8331,7481
9515,8250,7491
9520,7824,7509
9525,7250,7538
9530,6790,7567
9535,6656,7567
9540,6909,7538
9545,7433,7519
9550,7988,7481
9555,8318,7481
9560,8273,7481
9565,7873,7500
9570,7301,7529
9575,6821,7548
9580,6652,7538
9585,6872,7538
9590,7380,7500
9595,7943,7481
9600,8303,7462
9605,8293,7462
9610,7920,7481
9615,7353,7509
9620,6854,7538
9625,6651,7538
9630,6837,7529
9635,7328,7491
9640,7897,7472
9645,8284,7443
9650,8311,7443
9655,7965,7472
9660,7406,7491
9665,6890,7519
9670,6653,7529
9675,6805,7509
9680,7276,7481
9685,7849,7462
9690,8262,7433
9695,8325,7433
9700,8009,7452
9705,7459,7481
9710,6928,7509
9715,6659,7519
9720,6776,7500
9725,7225,7481
9730,7800,7452
9740,8336,7616
9745,8051,7625
9750,7513,7664
9755,6969,16141
9760,6668,7703
9765,6749,7683
9770,7175,7674
9775,7749,7635
9780,8209,7616
9785,8343,7606
9790,8090,7616
9795,7566,7645
9800,7011,7674
9805,6681,7674
9810,6726,7654
9815,7126,7625
9820,7698,7606
9825,8178,7567
9830,8347,7567
9835,8127,7577
9840,7619,7606
9845,7056,7625
9850,6696,7635
9855,6705,7625
9860,7079,7606
9865,7646,7577
9870,8145,7538
9875,8348,7538
9880,8162,7548
9885,7672,7577
9890,7102,7606
9895,6715,7616
9900,6688,7616
9905,7033,7596
9910,7593,7567
9915,8109,7538
9920,8346,7538
9925,8194,7538
9930,7723,7567
9935,7150,7596
9940,6737,7616
9945,6674,7616
9950,6990,7587
9955,7539,7567
9960,8071,7538
9965,8340,7529
9970,8223,7538
9975,7774,7558
9980,7200,7577
9985,6762,7606
9990,6663,7606
9995,6948,7577
10000,7486,7558
10005,8030,7529
10010,8331,7519
10015,8250,7529
10020,7824,7538
10025,7250,7577
10030,6790,7596
10035,6656,7596
10040,6909,7577
10045,7433,7548
10050,7988,7529
10055,8318,7500
10060,8273,7509
10065,7873,7529
10070,7301,7558
10075,6821,7577
10080,6652,7577
10085,6872,7558
10090,7380,7538
10095,7943,7500
10100,8303,7481
10105,8294,7481
10110,7920,7500
10115,7354,7538
10120,6854,7558
10125,6651,7558
10130,6837,7538
10135,7327,7519
10140,7897,7481
10145,8284,7472
10150,8311,7472
10155,7966,7481
10160,7406,7509
10165,6890,7529
10170,6653,7538
10175,6805,7529
10180,7275,7500
10185,7849,7472
10190,8262,7443
10195,8325,7452
10200,8009,7472
10205,7460,7491
10210,6928,7529
10215,6659,7529
10220,6776,7519
10225,7224,7491
10230,7799,7462
10235,8237,7433
10240,8336,7433
10245,8051,7452
10250,7513,7481
10255,6969,7500
10260,6668,7519
10265,6749,7509
10270,7174,7491
10275,7749,7462
10280,8209,7433
10285,8343,7433
10290,8090,7452
10295,7566,7481
10300,7012,7509
10305,6681,7529
10310,6726,7529
10315,7126,7500
10320,7697,7481
10325,8178,7452
10330,8347,7452
10335,8128,7472
10340,7619,7491
10345,7056,7519
10350,6696,7538
10355,6705,7538
10360,7079,7519
10365,7645,7491
10370,8145,7472
10375,8348,7462
10380,8162,7481
10385,7672,7500
10390,7103,7538
10395,6715,7548
10400,6688,7548
10405,7033,7538
10410,7592,7500
10415,8109,7500
10420,8346,7481
10425,8194,7491
10430,7724,7519
10435,7151,7538
10440,6737,7558
10445,6674,7558
10450,6990,7538
10455,7539,7519
10460,8071,7481
10465,8340,7481
10470,8223,7491
10475,7775,7519
10480,7200,7538
10485,6762,7567
10490,6663,7567
10495,6948,7548
10500,7486,7529
10505,8030,7491
10510,8331,7481
10515,8250,7491
10520,7825,7509
10525,7250,7538
10530,6790,7558
10535,6656,7558
10540,6908,7538
10545,7432,7519
10550,7987,7491
10555,8318,7481
10560,8273,7481
10565,7873,7491
10570,7302,7529
10575,6821,7538
10580,6652,7538
10585,6871,7538
10590,7379,7500
10595,7943,7481
10600,8302,7462
10605,8294,7462
10610,7920,7481
10615,7354,7500
10620,6854,7529
10625,6651,7538
10630,6837,7519
10635,7327,7491
10640,7896,7462
10645,8284,7443
10650,8311,7443
10655,7966,7462
10660,7407,7491
10665,6890,7519
10670,6653,7519
10675,6805,7509
10680,7275,7481
10685,7848,7462
10690,8262,7433
10695,8325,7433
10700,8010,7452
10705,7460,7481
10710,6929,7500
10715,6659,7519
10720,6775,7500
10725,7224,7481
10730,7799,7452
10735,8237,7433
10740,8336,7433
10745,8051,7452
10750,7513,7481
10755,6969,7500
10760,6668,7519
10765,6749,7519
10770,7174,7491
10775,7748,7462
10780,8209,7433
10785,8343,7433
10790,8091,7452
10795,7567,7481
10800,7012,7519
10805,6681,7529
10810,6726,7529
10815,7125,7500
10820,7697,7481
10825,8178,7452
10830,8347,7462
10835,8128,7472
10840,7620,7500
10845,7057,7529
10850,6697,7548
10855,6705,7538
10860,7078,7529
10865,7645,7491
10870,8145,7481
10875,8348,7472
10880,8162,7481
10885,7672,7500
10890,7103,7538
10895,6716,7558
10900,6688,7558
10905,7033,7538
10910,7592,7509
10915,8109,7481
10920,8346,7481
10925,8194,7491
10930,7724,7519
10935,7151,7538
10940,6738,7558
10945,6674,7558
10950,6989,7538
10955,7539,7519
10960,8070,7491
10965,8340,7481
10970,8224,7491
10975,7775,7519
10980,7200,7548
10985,6763,7567
10990,6663,7567
10995,6948,7548
11000,7485,7529
11005,8030,7500
11010,8331,7481
11015,8250,7491
11020,7825,7509
11025,7251,7538
11030,6791,7558
11035,6656,7558
11040,6908,7538
11045,7432,7519
11050,7987,7481
11055,8318,7472
11060,8273,7481
11065,7874,7491
11070,7302,7529
11075,6821,7548
11080,6652,7548
11085,6871,7538
11090,7379,7500
11095,7942,7481
11100,8302,7462
11105,8294,7462
11110,7921,7481
11115,7354,7509
11120,6855,7538
11125,6651,7538
11130,6836,7529
11135,7327,7491
11140,7896,7472
11145,8283,7452
11150,8311,7452
11155,7966,7472
11160,7407,7500
11165,6891,7529
11170,6653,7529
11175,6804,7519
11180,7275,7491
11185,7848,7462
11190,8261,7433
11195,8325,7433
11200,8010,7462
11205,7460,7491
11210,6929,7509
11215,6659,7519
11220,6775,7500
11225,7224,7481
11230,7799,7452
11235,8236,7433
11240,8336,7433
11245,8052,7443
11250,7514,7481
11255,6970,7500
11260,6668,7519
11265,6749,7509
11270,7174,7491
11275,7748,7462
11280,8208,7433
11285,8343,7433
11290,8091,7452
11295,7567,7481
11300,7012,7500
11305,6681,7529
11310,6725,7519
11315,7125,7500
11320,7697,7472
11325,8178,7443
11330,8347,7443
11335,8128,7462
11340,7620,7491
11345,7057,7519
11350,6697,7538
11355,6705,7538
11360,7078,7519
11365,7644,7491
11370,8144,7472
11375,8348,7462
11380,8163,7481
11385,7673,7500
11390,7103,7529
11395,6716,7538
11400,6688,7538
11405,7032,7529
11410,7592,7500
11415,8108,7481
11420,8346,7472
11425,8195,7481
11430,7725,7500
11435,7151,7538
11440,6738,7558
11445,6674,7558
11450,6989,7538
11455,7538,7519
11460,8070,7491
11465,8340,7481
11470,8224,7491
11475,7776,7519
11480,7201,7538
11485,6763,7567
11490,6663,7558
11495,6947,7538
11500,7485,7529
11505,8029,7491
11510,8330,7481
11515,8250,7481
11520,7825,7500
11525,7251,7538
11530,6791,7558
11535,6656,7558
11540,6908,7538
11545,7432,7519
11550,7987,7491
11555,8318,7472
11560,8274,7481
11565,7874,7491
11570,7303,7529
11575,6821,7548
11580,6652,7548
11585,6871,7538
11590,7379,7500
11595,7942,7481
11600,8302,7462
11605,8294,7462
11610,7921,7481
11615,7355,7519
11620,6855,7538
11625,6651,7538
11630,6836,7529
11635,7326,7500
11640,7896,7472
11645,8283,7452
11650,8311,7452
11655,7967,7472
11660,7408,7491
11665,6891,7519
11670,6653,7529
11675,6804,7519
11680,7274,7491
11685,7848,7472
11690,8261,7443
11695,8325,7443
11700,8010,7462
11705,7461,7491
11710,6929,7519
11715,6659,7529
11720,6775,7519
11725,7223,7491
11730,7798,7462
11735,8236,7433
11740,8336,7433
11745,8052,7452
11750,7514,7481
11755,6970,7500
11760,6669,7519
11765,6749,7509
11770,7173,7491
11775,7748,7462
11780,8208,7433
11785,8343,7433
11790,8091,7452
11795,7568,7481
11800,7013,7519
11805,6681,7529
11810,6725,7529
11815,7125,7500
11820,7696,7481
11825,8177,7462
11830,8347,7452
11835,8128,7472
11840,7621,7491
11845,7057,7519
11850,6697,7538
11855,6705,7538
11860,7078,7519
11865,7644,7491
11870,8144,7462
11875,8348,7462
11880,8163,7481
11885,7673,7500
11890,7104,7538
11895,6716,7548
11900,6688,7548
11905,7032,7538
11910,7591,7500
11915,8108,7481
11920,8346,7481
11925,8195,7491
11930,7725,7519
11935,7152,7538
11940,6738,7558
11945,6674,7558
11950,6989,7538
11955,7538,7509
11960,8070,7481
11965,8340,7481
11970,8224,7491
11975,7776,7519
11980,7201,7538
11985,6763,7567
11990,6663,7567
11995,6947,7538
12000,7485,7529
12005,8029,7491
12010,8330,7481
12015,8250,7481
12020,7826,7500
12025,7251,7538
12030,6791,7558
12035,6656,7558
12040,6908,7538
12045,7431,7519
12050,7986,7491
