theta,desired,actual
10330,8343,7308
10335,8144,7337
10340,7722,7366
10345,7223,7414
10350,6820,7423
10355,6652,7433
10360,6777,7423
10365,7152,7404
10370,7647,7366
10375,8091,7346
10380,8331,7346
10385,8283,7366
10390,7964,7385
8150,7489,7481
8155,7990,7452
8160,8303,7433
8165,8310,7452
8170,8007,7481
8175,7510,7500
8180,7009,7538
8185,6696,7538
8190,6689,7538
8195,6992,7509
8200,7489,7481
8205,7990,7472
8210,8303,7443
8215,8310,7452
8220,8007,7481
8225,7510,7500
8230,7009,7538
8235,6696,7538
8240,6689,7538
8245,6992,7519
8250,7489,7481
8255,7990,7452
8260,8303,7443
8265,8310,7452
8270,8007,7481
8275,7510,7500
8280,7009,7538
8285,6696,7538
8290,6689,7538
8295,6992,7509
8300,7489,7481
8305,7990,7452
8310,8303,7443
8315,8310,7452
8320,8007,7481
8325,7510,7500
8330,7009,7538
8335,6696,7538
8340,6689,7538
8345,6992,7509
8350,7489,7481
8355,7990,7452
8360,8303,7433
8365,8310,7452
8370,8007,7481
8375,7510,7500
8380,7009,7538
8385,6696,7538
8390,6689,7538
8395,6992,7509
8400,7489,7481
8405,7990,7452
8410,8303,7443
8415,8310,7452
8420,8007,7481
8425,7511,7509
8430,7010,7538
8435,6696,7538
8440,6689,7538
8445,6992,7509
8450,7488,7481
8455,7989,7452
8460,8303,7443
8465,8310,7462
8470,8007,7481
8475,7511,7519
8480,7010,7538
8485,6696,7538
8490,6689,7538
8495,6992,7519
8500,7488,7481
8505,7989,7452
8510,8303,7443
8515,8310,7462
8520,8007,7481
8525,7511,7519
8530,7010,7548
8535,6696,7538
8540,6689,7538
8545,6992,7519
8550,7488,7481
8555,7989,7452
8560,8303,7443
8565,8310,7452
8570,8007,7481
8575,7511,7509
8580,7010,7538
8585,6696,7538
8590,6689,7538
8595,6992,7519
8600,7488,7481
8605,7989,7462
8610,8303,7443
8615,8310,7452
8620,8007,7481
8625,7511,7519
8630,7010,7538
8635,6696,7538
8640,6689,7538
8645,6992,7519
8650,7488,7481
8655,7989,7452
8660,8303,7443
8665,8310,7452
8670,8007,7481
8675,7511,7509
8680,7010,7548
8685,6696,7538
8690,6689,7538
8695,6992,7519
8700,7488,7481
8705,7989,7462
8710,8303,7443
8715,8310,7452
8720,8007,7481
8725,7511,7509
8730,7010,7538
8735,6696,7538
8740,6689,7538
8745,6992,7519
8750,7488,7481
8755,7989,7462
8760,8303,7452
8765,8310,7462
8770,8007,7481
8775,7511,7509
8780,7010,7548
8785,6696,7538
8790,6689,7538
8795,6992,7519
8800,7488,7481
8805,7989,7462
8810,8303,7443
8815,8310,7462
8820,8008,7481
8825,7511,7509
8830,7010,7538
8835,6696,7538
8840,6689,7538
8845,6991,7519
8850,7488,7491
8855,7989,7462
8860,8303,7452
8865,8310,7462
8870,8008,7481
8875,7511,7519
8880,7010,7538
8885,6696,7548
8890,6689,7538
8895,6991,7519
8900,7488,7481
8905,7989,7462
8910,8303,7443
8915,8310,7462
8920,8008,7481
8925,7511,7519
8930,7010,7538
