theta,desired,actual
11300,6988,7509
11305,7565,7481
11310,8108,7462
11315,8347,7452
11320,8163,7472
11325,7647,7491
11330,7057,7519
11335,6689,7538
11340,6725,7538
11345,7149,7519
11350,7748,7491
11355,8222,7472
11360,8336,7472
7015,8161,7472
7020,7618,7491
7025,7010,7529
7030,6668,7538
7035,6776,7538
7040,7277,7519
7045,7898,7491
7050,8303,7472
7055,8273,7472
7060,7823,7481
7065,7198,7519
7070,6737,7538
7075,6689,7538
7080,7080,7519
7085,7699,7491
7090,8210,7472
7095,8335,7472
7100,8008,7481
7105,7405,7509
7110,6853,7538
7115,6652,7538
7120,6910,7529
7125,7487,7500
7130,8072,7481
7135,8346,7462
7140,8161,7481
7145,7618,7491
7150,7010,7529
7155,6668,7538
7160,6776,7538
7165,7277,7519
7170,7898,7491
7175,8303,7472
7180,8273,7472
7185,7823,7491
7190,7198,7519
7195,6737,7538
7200,6689,7538
7205,7080,7519
7210,7699,7491
7215,8210,7472
7220,8336,7472
7225,8008,7481
7230,7405,7509
7235,6853,7538
7240,6652,7538
7245,6910,7529
7250,7487,7500
7255,8072,7472
7260,8346,7472
7265,8161,7481
7270,7618,7491
7275,7010,7529
7280,6668,7538
7285,6776,7538
7290,7277,7519
7295,7898,7491
7340,8210,6144
7345,8336,7481
7350,8008,7500
7355,7405,7538
7360,6853,7558
7365,6652,7558
7370,6910,7548
7375,7487,7529
7380,8072,7500
7385,8346,7491
7390,8161,7491
7395,7618,7519
7400,7011,7538
7405,6668,7548
7410,6776,7538
7415,7276,7519
7420,7898,7491
7425,8303,7481
7430,8273,7481
7435,7823,7491
7440,7199,7529
7445,6737,7538
7450,6688,7538
7455,7080,7529
7460,7699,7491
7465,8210,7481
7470,8336,7481
7475,8008,7491
7480,7405,7519
7485,6853,7538
7490,6652,7538
7495,6909,7538
7500,7487,7500
7505,8072,7481
7510,8346,7472
7515,8161,7481
7520,7618,7500
7525,7011,7529
7530,6668,7538
7535,6776,7538
7540,7276,7519
7545,7897,7491
7550,8303,7472
7555,8273,7481
7560,7824,7491
7565,7199,7519
7570,6737,7538
7575,6688,7538
7580,7080,7529
7585,7699,7500
7590,8209,7481
7595,8336,7481
7600,8008,7491
7605,7406,7519
7610,6853,7548
7615,6652,7538
7620,6909,7538
7625,7487,7500
7630,8071,7481
7635,8346,7472
7640,8161,7481
7645,7618,7500
7650,7011,7538
7655,6668,7538
7660,6776,7538
7665,7276,7519
7670,7897,7491
7675,8303,7472
7680,8273,7472
7685,7824,7491
7690,7199,7519
7695,6737,7538
7700,6688,7538
7705,7080,7529
7710,7698,7491
7715,8209,7481
7720,8336,7472
7725,8009,7491
7730,7406,7519
7735,6854,7538
7740,6652,7538
7745,6909,7529
7750,7487,7500
7755,8071,7481
7760,8346,7472
7765,8162,7481
7770,7618,7500
7775,7011,7538
7780,6668,7538
7785,6776,7538
7790,7276,7519
7795,7897,7491
7805,8273,7645
7810,7824,7664
7815,7199,7693
7820,6737,7722
7825,6688,7722
7830,7079,7713
7835,7698,7683
7840,8209,7664
7845,8336,7654
7850,8009,7664
7855,7406,7683
7860,6854,7703
7865,6652,7693
7870,6909,7683
7875,7487,7654
7880,8071,7616
7885,8346,7606
7890,8162,7606
7895,7619,7616
7900,7011,7645
7905,6668,7645
7910,6776,7635
7915,7276,7616
7920,7897,7577
7925,8303,7558
7930,8273,7558
7935,7824,7577
7940,7199,7606
7945,6737,7616
7950,6688,7616
7955,7079,7606
7960,7698,7577
7965,8209,7548
7970,8336,7538
7975,8009,7558
7980,7406,7577
7985,6854,7616
7990,6652,7616
7995,6909,7587
8000,7487,7567
8005,8071,7538
8010,8346,7529
8015,8162,7529
8020,7619,7538
8025,7011,7567
8030,6668,7577
8035,6776,7577
8040,7276,7558
8045,7897,7538
8050,8303,7500
8055,8273,7500
8060,7824,7529
8065,7199,7548
8070,6737,7577
8075,6688,7567
8080,7079,7548
8085,7698,7529
8090,8209,7500
8095,8336,7500
8100,8009,7519
8105,7406,7538
8110,6854,7567
8115,6652,7567
8120,6909,7558
8125,7487,7538
8130,8071,7500
8135,8346,7491
8140,8162,7491
8145,7619,7519
8150,7011,7538
8155,6668,7548
8160,6776,7538
8165,7276,7529
8170,7897,7500
8175,8303,7481
8180,8273,7481
8185,7824,7491
8190,7199,7529
8195,6737,7538
8200,6688,7538
8205,7079,7538
8210,7698,7500
8215,8209,7481
8220,8336,7481
8225,8009,7491
8230,7406,7529
8235,6854,7538
8240,6652,7548
8245,6909,7538
8250,7486,7509
8255,8071,7481
8260,8346,7481
8265,8162,7481
8270,7619,7500
8275,7011,7538
8280,6668,7538
8285,6776,7538
8290,7276,7529
8295,7897,7491
8305,8273,7654
8310,7824,7674
8315,7199,7703
8320,6737,7732
8325,6688,7732
8330,7079,7722
8335,7698,7683
8340,8209,7664
8345,8336,7664
8350,8009,7674
8355,7406,7693
8360,6854,7713
8365,6652,7713
8370,6909,7693
8375,7486,7664
8380,8071,7635
8385,8346,7616
8390,8162,7616
8395,7619,7635
8400,7011,7654
8405,6668,7664
8410,6776,7645
8415,7276,7625
8420,7897,7596
8425,8303,7577
8430,8273,7577
8435,7824,7587
8440,7199,7616
8445,6737,7625
8450,6688,7625
8455,7079,7616
8460,7698,7577
8465,8209,7558
8470,8336,7558
8475,8009,7567
8480,7406,7587
8485,6854,7616
8490,6652,7616
8495,6909,7606
8500,7486,7577
8505,8071,7538
8510,8346,7538
8515,8162,7538
8520,7619,7558
8525,7011,7577
8530,6668,7587
8535,6776,7577
8540,7276,7567
8545,7897,7538
8550,8303,7519
8555,8273,7519
8560,7824,7538
8565,7199,7558
8575,6688,7404
8580,7079,7385
8585,7698,7346
8595,8336,7481
8600,8009,7491
8605,7406,7538
8610,6854,7558
8615,6652,7577
8620,6909,7558
8625,7486,7538
8630,8071,7519
8635,8346,7500
8640,8162,7500
8645,7619,7529
8650,7011,7548
8655,6668,7567
8660,6776,7558
8665,7276,7538
8670,7897,7519
8675,8303,7491
8680,8273,7491
8685,7824,7509
8690,7199,7538
8695,6737,7558
8700,6688,7558
8705,7079,7538
8710,7698,7519
8715,8209,7491
8720,8336,7491
8725,8009,7500
8730,7406,7529
8735,6854,7548
8740,6652,7548
8745,6909,7538
8750,7486,7529
8755,8071,7491
8760,8346,7481
8765,8162,7481
8770,7619,7500
8775,7012,7538
8780,6668,7538
8785,6776,7538
8790,7275,7529
8795,7897,7491
8800,8303,7481
8805,8273,7481
8810,7824,7491
8815,7200,7519
8820,6737,7538
8825,6688,7538
8830,7079,7529
8835,7697,7500
8840,8209,7472
8845,8336,7481
8850,8009,7491
8855,7407,7519
8860,6854,7538
8865,6652,7538
8870,6909,7529
8875,7486,7500
8880,8071,7481
8885,8346,7472
8890,8162,7481
8895,7619,7500
8900,7012,7538
8905,6668,7538
8910,6776,7538
8915,7275,7519
8920,7896,7491
8925,8303,7536
8930,8273,7472
8935,7825,7491
8940,7200,7519
8945,6737,7538
8950,6688,7538
8955,7079,7519
8960,7697,7491
8965,8209,7472
8970,8336,7472
8975,8009,7481
8980,7407,7509
8985,6854,7529
8990,6652,7538
8995,6909,7519
9000,7486,7500
9005,8071,7472
9010,8346,7462
9015,8162,7472
9020,7619,7491
9025,7012,7529
9030,6668,7538
9035,6776,7538
9040,7275,7509
9045,7896,7491
9050,8302,7462
9055,8273,7462
9060,7825,7481
9065,7200,7509
9070,6737,7538
