theta,desired,actual
11900,6995,7481
11905,7256,7433
11910,7545,7414
11915,7830,7375
11920,8075,7366
11925,8252,7385
11930,8341,7414
11935,8330,7443
11940,8220,7481
11945,8026,7519
11950,7769,7558
11955,7480,7596
11960,7194,7625
7015,8265,7394
7020,8346,7423
7025,8309,7452
7030,8157,7491
7035,7914,7529
7040,7612,7558
7045,7294,7606
7050,7005,7616
7055,6786,7616
7060,6667,7587
7065,6665,7558
7070,6780,7529
7075,6996,7481
7080,7283,7443
7085,7600,7414
7090,7903,7385
7095,8150,7375
7100,8305,7404
7105,8347,7423
7110,8270,7462
7115,8085,7491
7120,7818,7538
7125,7506,7577
7130,7193,7616
7135,6923,7616
7140,6734,7606
7145,6653,7577
7150,6690,7538
7155,6842,7509
7160,7085,7481
7165,7387,7433
7170,7705,7404
7175,7994,7375
7180,8213,7385
7185,8332,7414
7190,8334,7433
7195,8219,7481
7200,8003,7509
7205,7716,7538
7210,7399,7577
7215,7096,7616
7220,6849,7616
7225,6694,7596
7230,6652,7567
7235,6729,7538
7240,6914,7491
7245,7181,7462
7250,7493,7414
7255,7806,7375
7260,8076,7375
7265,8265,7385
7270,8346,7414
7275,8309,7443
7280,8157,7481
7285,7914,7519
7290,7612,7558
7295,7294,7596
7300,7006,7616
7305,6786,7616
7310,6667,7577
7315,6665,7558
7320,6780,7529
7325,6996,7491
7330,7282,7452
7335,7600,7414
Timeout by 4,,
7340,7903,7296
7345,8150,7414
7350,8305,7433
7355,8347,7462
7360,8270,7500
7365,8085,7538
7370,7818,7577
7375,7506,7616
7380,7193,7645
7385,6923,7654
7390,6734,7645
7395,6653,7616
7400,6690,7577
7405,6842,7538
7410,7085,7500
7415,7387,7472
7420,7705,7433
7425,7993,7414
7430,8213,7414
7435,8332,7433
7440,8334,7462
7445,8219,7491
7450,8003,7538
7455,7717,7577
7460,7399,7587
7465,7096,7635
7470,6849,7635
7475,6694,7616
7480,6652,7577
7485,6729,7548
7490,6914,7519
7495,7181,7481
7500,7493,7433
7505,7806,7414
7510,8076,7404
7515,8265,7414
7520,8346,7433
7525,8309,7472
7530,8157,7500
7535,7914,7538
7540,7612,7577
7545,7294,7616
7550,7006,7625
7555,6786,7616
7560,6667,7596
7565,6665,7567
7570,6779,7538
7575,6996,7500
7580,7282,7462
7585,7600,7414
7590,7903,7394
7595,8150,7385
7600,8305,7414
7605,8347,7433
7610,8270,7472
7615,8085,7500
7620,7818,7538
7625,7506,7577
7630,7193,7616
7635,6923,7616
7640,6734,7616
7645,6653,7577
7650,6690,7548
7655,6841,7519
7660,7085,7481
7665,7387,7433
7670,7705,7414
7675,7993,7385
7680,8213,7394
7685,8332,7414
7690,8334,7443
7695,8220,7481
7700,8004,7519
7705,7717,7558
7710,7399,7587
7715,7096,7616
7720,6849,7616
7725,6694,7606
7730,6652,7577
7735,6729,7538
7740,6914,7509
7745,7181,7472
7750,7493,7433
7755,7806,7404
7760,8076,7385
7765,8265,7404
7770,8346,7423
7775,8309,7462
7780,8158,7491
7785,7914,7529
7790,7612,7567
7795,7295,7606
7800,7006,7616
7805,6786,7616
7810,6667,7587
7815,6665,7567
7820,6779,7538
7825,6995,7491
7830,7282,7452
7835,7600,7414
7840,7903,7385
7845,8149,7385
7850,8305,7404
7855,8347,7433
7860,8270,7462
7865,8085,7500
7870,7818,7538
7875,7506,7577
7880,7193,7616
7885,6923,7616
7890,6734,7606
7895,6653,7577
7900,6690,7548
7905,6841,7519
7910,7085,7481
7915,7387,7433
7920,7704,7404
7925,7993,7385
7930,8213,7394
7935,8332,7414
7940,8334,7443
7945,8220,7481
7950,8004,7519
7955,7717,7548
