theta,desired,actual
13920,7398,7780
13925,7241,7771
13930,7094,7751
13935,6962,7713
13940,6848,7683
13945,6758,7645
13950,6694,7606
13955,6658,7558
13960,6652,7519
13965,6676,7481
13970,6730,7433
13975,6810,7404
13980,6915,7356
13985,7041,7308
13990,7183,7269
13995,7336,7231
14000,7495,7211
14005,7654,7211
14010,7808,7231
14015,7951,7260
14020,8077,7288
14025,8184,7327
14030,8266,7366
14035,8321,7414
14040,8346,7452
14045,8342,7491
14050,8308,7538
14055,8245,7567
14060,8156,7616
14065,8044,7654
14070,7912,7693
14075,7766,7742
14080,7610,7771
14085,7451,7742
14090,7293,7780
14095,7142,7761
14100,7004,7722
14105,6884,7693
14110,6785,7664
14115,6712,7616
14120,6667,7577
14125,6651,7538
14130,6665,7491
14135,6709,7452
14140,6780,7414
14145,6878,7366
14150,6997,7327
14155,7134,7288
14160,7284,7260
14165,7442,7231
14170,7601,7221
14175,7758,7231
14180,7904,7250
14185,8037,7288
14190,8151,7317
14195,8241,7356
14200,8305,7404
14205,8341,7433
14210,8347,7481
14215,8323,7529
14220,8269,7567
14225,8189,7606
14230,8084,7645
14235,7958,7683
14240,7816,7732
14245,7663,7761
14250,7504,7780
14255,7345,7780
14260,7191,7771
14265,7048,7742
14270,6922,7703
14275,6815,7674
14280,6733,7625
14285,6678,7587
14290,6653,7548
14295,6657,7519
14300,6691,7472
14305,6753,7433
14310,6843,7385
14315,6955,7346
14320,7087,7298
14325,7233,7260
14330,7389,7231
14335,7548,7221
14340,7706,7221
14345,7857,7250
14350,7995,7269
14355,8115,7298
14360,8214,7346
14365,8287,7385
14370,8332,7423
14375,8348,7462
14380,8334,7500
14385,8290,7538
14390,8219,7577
14395,8121,7625
14400,8002,7674
14405,7865,7713
14410,7715,7751
14415,7557,7771
14420,7398,7780
14425,7242,7771
14430,7095,7751
14435,6962,7722
14440,6848,7683
14445,6758,7645
14450,6694,7606
14455,6658,7558
14460,6652,7529
14465,6676,7481
14470,6730,7433
14475,6810,7404
14480,6915,7356
14485,7041,7308
14490,7183,7269
14495,7336,7260
14500,7495,7211
14505,7654,7211
14510,7808,7231
14515,7950,7260
14520,8077,7288
14525,8184,7317
14530,8266,7366
14535,8321,7414
14540,8346,7443
14545,8342,7491
14550,8308,7538
14555,8246,7567
14560,8156,7616
14565,8044,7654
14570,7912,7693
14575,7766,7742
14580,7610,7771
14585,7451,7771
14590,7293,7780
14595,7142,7751
14600,7004,7732
14605,6884,7683
14610,6785,7654
14615,6712,7616
14620,6667,7577
14625,6651,7538
14630,6665,7491
14635,6709,7452
14640,6780,7414
14645,6878,7366
14650,6997,7327
14655,7134,7288
14660,7284,7250
14665,7442,7221
14670,7601,7221
14675,7757,7231
14680,7904,7250
14685,8037,7288
14690,8151,7317
14695,8241,7366
14700,8305,7404
14705,8341,7433
14710,8347,7481
14715,8323,7529
14720,8270,7567
14725,8189,7606
14730,8084,7645
14735,7958,7683
14740,7816,7722
14745,7663,7761
14750,7504,7780
14755,7345,7790
14760,7191,7771
14765,7049,7742
14770,6922,7703
14775,6816,7674
14780,6733,7625
14785,6678,7587
14790,6653,7548
14795,6657,7519
14800,6691,7472
14805,6753,7433
14810,6842,7385
14815,6955,7337
14820,7087,7298
14825,7233,7260
14830,7389,7231
14835,7548,7221
14840,7706,7221
14845,7857,7250
14850,7995,7269
14855,8115,7298
14860,8214,7337
14865,8287,7385
14870,8332,7423
14875,8348,7462
14880,8334,7500
14885,8290,7538
14890,8219,7577
14895,8121,7625
14900,8002,7674
14905,7865,7722
14910,7715,7751
14915,7557,7780
14920,7398,7780
14925,7242,7771
14930,7095,7751
14935,6962,7713
14940,6848,7674
14945,6758,7645
14950,6694,7606
14955,6658,7558
14960,6652,7519
14965,6676,7481
14970,6729,7433
14975,6810,7404
14980,6915,7356
14985,7041,7308
14990,7183,7269
14995,7336,7240
15000,7495,7211
15005,7654,7202
15010,7808,7231
15015,7950,7260
15020,8077,7288
15025,8183,7317
15030,8266,7366
15035,8321,7414
15040,8346,7443
15045,8342,7481
