theta,desired,actual
12435,8332,7414
12440,8335,7433
12445,8221,7481
12450,8005,7509
12455,7719,7538
12460,7401,7577
12465,7098,7616
12470,6851,7616
12475,6695,7596
12480,6652,7567
12485,6728,7538
12490,6912,7500
12495,7179,7462
7115,7533,7558
7120,7193,7587
7125,6904,7606
7130,6713,7587
7135,6651,7567
7140,6729,7538
7145,6933,7500
7150,7231,7462
7155,7573,7433
7160,7903,7433
7165,8166,7394
7170,8320,7414
7175,8339,7433
7180,8220,7472
7185,7982,7500
7190,7665,7538
7195,7321,7558
7200,7006,7606
7205,6772,7606
7210,6658,7577
7215,6683,7548
7220,6841,7529
7225,7108,7481
7230,7440,7443
7235,7781,7414
7240,8076,7404
7245,8276,7414
7250,8348,7433
7255,8281,7472
7260,8085,7500
7265,7793,7538
7270,7453,7577
7275,7120,7616
7280,6850,7616
7285,6686,7606
7290,6657,7577
7295,6765,7538
7300,6995,7500
7305,7308,7472
7310,7652,7433
7315,7971,7414
7320,8213,7414
7325,8337,7423
7330,8323,7452
7335,8174,7481
7340,7914,7519
7345,7586,7558
7350,7244,7587
7355,6943,7606
7360,6734,7596
7365,6651,7577
7370,6708,7538
7375,6895,7509
7380,7181,7472
7385,7519,7433
7390,7855,7404
7395,8132,7404
7400,8305,7414
7405,8345,7433
7410,8247,7462
7415,8025,7500
7420,7717,7538
7425,7373,7577
7430,7050,7616
7435,6801,7606
7440,6667,7577
7445,6670,7558
7450,6809,7529
7455,7062,7491
7460,7386,7452
7465,7730,7443
7470,8035,7404
7475,8253,7414
7480,8346,7433
7485,8300,7462
7490,8123,7491
7495,7843,7538
7500,7506,7567
7505,7169,7606
7510,6885,7616
7515,6703,7596
7520,6652,7567
7525,6740,7538
7530,6953,7500
7535,7256,7462
7540,7599,7423
7545,7926,7404
7550,8182,7394
7555,8326,7414
7560,8335,7433
7565,8205,7472
7570,7960,7500
7575,7639,7538
7580,7295,7577
7585,6985,7606
7590,6759,7596
7595,6655,7577
7600,6690,7538
7605,6858,7529
7610,7132,7481
7615,7466,7433
7620,7806,7414
7625,8095,7394
7630,8286,7404
7635,8348,7423
7640,8270,7462
7645,8066,7491
7650,7768,7538
7655,7426,7567
7660,7097,7596
7665,6833,7606
7670,6679,7587
7675,6660,7558
7680,6779,7538
7685,7017,7491
7690,7334,7462
7695,7678,7423
7700,7993,7404
7705,8227,7404
7710,8341,7423
7715,8317,7452
7720,8158,7491
7725,7891,7529
7730,7560,7567
7735,7218,7596
7740,6923,7616
7745,6723,7596
7750,6651,7577
7755,6718,7538
7760,6913,7519
7765,7206,7481
7770,7546,7433
