theta,desired,actual
11635,7872,7491
11640,7405,7538
11645,6968,7558
11650,6696,7558
11655,6674,7548
11660,6910,7529
11665,7329,7491
11670,7801,7462
11675,8179,7433
11680,8346,7433
11685,8249,7462
11690,7919,7481
11695,7458,7519
6765,7323,7529
6770,6887,7558
6775,6663,7558
6780,6727,7538
6785,7059,7519
6790,7543,7481
6795,8012,7462
6800,8304,7452
6805,8317,7462
6810,8048,7491
6815,7589,7519
6820,7099,7548
6825,6747,7567
6830,6656,7558
6835,6857,7538
6840,7279,7519
6845,7778,7481
6850,8181,7452
6855,8348,7452
6860,8221,7472
6865,7845,7500
6870,7350,7538
6875,6906,7558
6880,6668,7558
6885,6717,7538
6890,7037,7519
6895,7517,7481
6900,7991,7452
6905,8295,7452
6910,8324,7462
6915,8068,7481
6920,7615,7519
6925,7123,7538
6930,6760,7558
6935,6654,7558
6940,6839,7538
6945,7254,7509
6950,7753,7481
6955,8164,7452
6960,8346,7452
6965,8235,7472
6970,7869,7491
6975,7376,7529
6980,6925,7538
6985,6673,7558
6990,6707,7538
6995,7015,7519
7000,7490,7481
7005,7969,7452
7010,8285,7443
7015,8330,7452
7020,8087,7481
7025,7642,7509
7030,7147,7538
7035,6774,7558
7040,6652,7558
7045,6823,7538
7050,7228,7509
7055,7727,7481
7060,8147,7452
7065,8344,7443
7070,8248,7462
7075,7893,7491
7080,7403,7529
7085,6945,7548
7090,6680,7558
7095,6698,7538
7100,6993,7519
7105,7463,7491
7110,7946,7462
7115,8275,7452
7120,8335,7462
7125,8106,7481
7130,7668,7509
7135,7171,7538
7140,6788,7558
7145,6651,7558
7150,6807,7538
7155,7203,7509
7160,7701,7481
7165,8130,7452
7170,8340,7452
7175,8260,7462
7180,7917,7491
7185,7429,7529
7190,6966,7548
7195,6687,7558
7200,6689,7538
7205,6972,7529
7210,7437,7491
7215,7923,7462
7220,8263,7443
7225,8339,7452
7230,8125,7472
7235,7694,7500
7240,7196,7538
7250,6651,7366
7255,6792,7366
7260,7178,7317
7265,7675,7279
7270,8112,7260
7275,8336,7260
7280,8272,7269
7285,7940,7298
7290,7456,7327
7295,6987,7385
7300,6695,7385
7305,6682,7385
7310,6951,7366
7315,7410,7337
7320,7900,7308
7325,8251,7298
7330,8343,7317
7335,8143,7337
7340,7720,7375
7345,7221,7414
7350,6819,7433
7355,6651,7433
7360,6778,7423
7365,7153,7404
7370,7649,7366
7375,8093,7337
7380,8331,7337
7385,8282,7366
7390,7963,7385
7395,7483,7423
7400,7009,7452
7405,6704,7472
7410,6675,7472
7415,6931,7443
7420,7383,7414
7425,7876,7385
7430,8239,7375
7435,8345,7375
7440,8160,7414
7445,7746,7433
7450,7247,7472
7455,6835,7491
7460,6653,7491
7465,6764,7481
7470,7129,7462
7475,7623,7433
7480,8073,7414
7485,8326,7404
7490,8292,7414
7495,7985,7443
7500,7509,7481
7505,7031,7509
7510,6714,7529
7515,6669,7519
7520,6911,7491
7525,7357,7472
7530,7852,7433
7535,8225,7414
7540,8347,7423
7545,8176,7433
7550,7771,7472
7555,7272,7500
7560,6852,7529
7565,6655,7529
7570,6751,7519
7575,7105,7491
7580,7596,7452
7585,8053,7433
7590,8319,7423
7595,8301,7433
7600,8006,7462
7605,7536,7491
7610,7053,7529
7615,6724,7538
7620,6664,7538
7625,6892,7509
7630,7331,7481
7635,7827,7443
7640,8211,7433
7645,8348,7433
7650,8192,7452
7655,7796,7481
7660,7298,7509
7665,6869,7538
7670,6659,7538
7675,6739,7529
7680,7082,7500
7685,7569,7472
7690,8033,7443
