theta,desired,actual
15770,6695,7616
15775,6651,7577
15780,6690,7538
15785,6808,7500
15790,6994,7472
15795,7230,7433
15800,7491,7385
15805,7754,7366
15810,7992,7356
15815,8181,7366
15820,8304,7394
15825,8348,7433
15830,8309,7462
7330,6885,7635
7335,6723,7616
7340,6653,7577
7345,6683,7548
7350,6809,7519
7355,7018,7481
7360,7283,7433
7365,7574,7404
7370,7856,16207
7375,8096,7366
7380,8265,7394
7385,8344,7423
7390,8323,7452
7395,8205,7491
7400,8003,7529
7405,7742,7567
7410,7452,7616
7415,7168,7625
7420,6923,7635
7425,6746,7616
7430,6658,7587
7435,6670,7558
7440,6780,7529
7445,6975,7481
7450,7232,7433
7455,7520,7414
7460,7807,7366
7465,8057,7366
7470,8241,7385
7475,8337,7414
7480,8334,7443
7485,8233,7481
7490,8045,7529
7495,7792,7558
7500,7505,7596
7505,7217,7625
7510,6963,7635
7515,6772,7616
7520,6667,7596
7525,6660,7567
7530,6753,7538
7535,6934,7491
7540,7182,7452
7545,7467,7414
7550,7756,7366
7555,8015,7366
7560,8213,7375
7565,8327,7404
7570,8342,7433
7575,8258,7472
7580,8085,7509
7585,7842,7548
7590,7559,7587
7595,7268,7625
7600,7005,7625
7605,6801,7616
7610,6679,7596
7615,6654,7567
7620,6729,7538
7625,6895,7491
7630,7133,7452
7635,7414,7414
7640,7705,7375
7645,7972,7366
7650,8183,7375
7655,8313,7404
7660,8347,7433
7665,8281,7472
7670,8122,7509
7675,7890,7538
7680,7612,7587
7685,7320,7625
7690,7050,7635
7695,6832,7625
7700,6694,7606
7705,6651,7577
7710,6708,7538
7715,6859,7500
7720,7086,7462
7725,7361,7423
7730,7653,7385
7735,7927,7366
7740,8150,7366
7745,8296,7404
7750,8348,7433
7755,8300,7462
7760,8157,7491
7765,7937,7538
7770,7664,7577
7775,7372,7616
7780,7096,7625
7785,6867,7625
7790,6712,7616
7795,6651,7577
7800,6690,7538
7805,6825,7509
7810,7040,7481
7815,7309,7433
7820,7600,7394
7825,7880,7366
7830,8114,7366
7835,8276,7394
7840,8346,7423
7845,8316,7462
7850,8190,7491
7855,7981,7538
7860,7716,7567
7865,7425,7616
7870,7143,7625
7875,6903,7635
7880,6734,7616
7885,6655,7577
7890,6676,7548
7895,6794,7519
7900,6996,7481
7905,7257,7433
7910,7547,7414
7915,7831,7375
7920,8076,7366
7925,8253,7385
7930,8341,7414
7935,8329,7452
7940,8219,7481
7945,8024,7529
7950,7767,7558
7955,7479,7606
7960,7193,7625
7965,6943,7635
7970,6759,7616
7975,6662,7587
7980,6665,7558
7985,6766,7529
7990,6954,7491
7995,7206,7443
8000,7494,7414
8005,7781,7366
8010,8036,7366
8015,8227,7375
8020,8332,7404
8025,8339,7433
8030,8246,7481
8035,8065,7519
8040,7817,7548
8045,7532,7587
8050,7243,7616
8055,6984,7625
8060,6786,7616
8065,6672,7587
8070,6657,7558
8075,6740,7529
8080,6914,7491
8085,7157,7452
8090,7440,7414
8095,7731,7366
8100,7994,7366
8105,8198,7366
8110,8320,7404
8115,8345,7433
8120,8270,7462
8125,8104,7500
8130,7866,7538
8135,7585,7577
8140,7294,7616
8145,7027,7625
8150,6816,7616
8155,6686,7596
8160,6652,7567
8165,6718,7529
8170,6877,7491
8175,7109,7452
8180,7387,7414
8185,7679,7375
8190,7949,7366
8195,8167,7366
8200,8305,7404
8205,8348,7433
8210,8291,7462
8215,8140,7491
8220,7914,7538
8225,7638,7577
8230,7346,7616
8235,7073,7625
8240,6849,7625
8245,6703,7606
8250,6651,7577
8255,6699,7538
8260,6842,7500
8265,7062,7462
8270,7335,7423
8275,7626,7394
8280,7903,7366
8285,8132,7366
8290,8287,7394
8295,8348,7423
8300,8309,7462
8305,8174,7491
8310,7959,7538
8315,7691,7577
8320,7399,7616
8325,7119,7625
8330,6885,7625
8335,6723,7616
8340,6653,7577
8345,6683,7548
8350,6809,7519
8355,7017,7481
8360,7283,7433
8365,7573,7394
8370,7855,7366
8375,8095,7366
8380,8265,7385
8385,8344,7414
8390,8323,7443
8395,8205,7481
8400,8003,7529
8405,7742,7558
8410,7452,7606
8415,7168,7625
8420,6923,7625
8425,6746,7616
8430,6658,7587
8435,6670,7558
8440,6780,7529
8445,6974,7481
8450,7231,7443
8455,7520,7404
8460,7806,7375
8465,8056,7366
8470,8240,7385
8475,8337,7414
8480,8334,7443
8485,8233,7481
8490,8045,7519
8495,7793,7558
8500,7506,7596
8505,7218,7625
8510,6963,7635
8515,6772,7616
8520,6667,7596
8525,6660,7567
8530,6753,7538
8535,6934,7491
8540,7181,7452
8545,7467,7414
8550,7756,7375
8555,8015,7366
8560,8213,7375
8565,8327,7414
8570,8342,7433
8575,8259,7481
8580,8085,7519
8585,7842,7558
8590,7559,7587
8595,7269,7625
8600,7006,7635
8605,6801,7625
8610,6679,7606
8615,6654,7577
8620,6729,7538
8625,6895,7491
8630,7133,7462
8635,7413,7414
8640,7705,7385
8645,7972,7366
8650,8183,7375
8655,8313,7414
8660,8347,7433
8665,8281,7472
8670,8123,7509
8675,7890,7538
8680,7612,7587
8685,7320,7625
8690,7050,7635
8695,6833,7625
8700,6694,7606
8705,6651,7577
8710,6708,7538
8715,6859,7500
8720,7085,7462
8725,7361,7423
8730,7652,7385
8735,7926,7366
8740,8150,7366
8745,8296,7394
8750,8348,7433
8755,8300,7462
8760,8157,7500
8765,7937,7538
8770,7665,7577
8775,7373,7616
8780,7096,7625
8785,6867,7625
8790,6713,7616
8795,6651,7577
8800,6690,7538
8805,6825,7509
8810,7039,7472
8815,7308,7433
8820,7600,7394
8825,7879,7366
8830,8114,7366
8835,8276,7375
8840,8346,7414
8845,8316,7443
8850,8190,7481
8855,7982,7529
8860,7717,7558
8865,7426,7606
8870,7144,7625
8875,6904,7625
8880,6734,7616
8885,6655,7577
8890,6676,7548
8895,6794,7519
8900,6995,7481
8905,7257,7433
8910,7547,7404
8915,7831,7366
8920,8076,7366
8925,8253,7385
8930,8341,7414
8935,8329,7443
8940,8220,7481
8945,8025,7519
8950,7768,7558
8955,7479,7606
8960,7193,7625
8965,6943,7625
8970,6759,7616
8975,6662,7587
8980,6665,7558
8985,6766,7529
8990,6954,7491
8995,7206,7452
9000,7493,7414
9005,7781,7366
9010,8036,7366
9015,8227,7385
9020,8332,7414
9025,8339,7443
9030,8246,7481
9035,8066,7519
9040,7818,7548
9045,7532,7587
9050,7243,7625
9055,6984,7635
9060,6786,7625
9065,6672,7606
9070,6657,7567
9075,6740,7538
9080,6914,7491
9085,7157,7452
9090,7440,7414
9095,7730,7375
9100,7993,7366
9105,8198,7375
9110,8320,7414
9115,8345,7433
9120,8270,7481
9125,8104,7509
9130,7867,7548
9135,7586,7577
9140,7295,7616
9145,7028,7625
9150,6817,7616
9155,6686,7596
9160,6652,7567
9165,6718,7538
9170,6876,7491
9175,7108,7462
9180,7387,7414
9185,7678,7375
9190,7949,7366
9195,8166,7366
9200,8305,7404
9205,8348,7433
9210,8291,7462
9215,8140,7500
9220,7914,7538
9225,7639,7577
9230,7347,7616
9235,7073,7635
9240,6850,7625
9245,6703,7616
9250,6651,7577
9255,6699,7538
9260,6841,7509
9265,7062,7481
9270,7334,7433
9275,7626,7394
9280,7903,7366
9285,8132,7375
9290,8286,7394
9295,8348,7423
9300,8309,7462
9305,8174,7491
9310,7960,7538
9315,7691,7577
9320,7399,7616
9325,7120,7635
9330,6885,7635
9335,6723,7616
