thta,desired,actual
69696,7922,7260
69701,7989,7298
69706,8052,7337
69711,8110,7385
69716,8163,7423
69721,8210,7472
69726,8250,7509
69731,8284,7548
69736,8311,7587
69741,8331,7635
69746,8343,7674
69751,8348,7722
69756,8346,7761
69761,8335,7800
69766,8318,7838
69771,8293,7877
69776,8261,7926
69781,8223,7964
69786,8178,8003
69791,8127,8042
69796,8070,8071
69801,8008,8100
69806,7942,8100
69811,7872,8100
69816,7799,8081
69821,7723,8061
69826,7645,8032
69831,7565,7993
69836,7486,7945
69841,7406,7916
69846,7327,7877
69851,7250,7838
69856,7174,7800
69861,7102,7761
69866,7033,7713
69871,6969,7674
69876,6909,7625
69881,6854,7577
69886,6805,7538
69891,6762,7500
69896,6726,7472
69901,6696,7423
69906,6674,7375
69911,6659,7337
69916,6652,7288
69921,6652,7260
69926,6659,7211
69931,6674,7182
69936,6696,7134
69941,6726,7086
69946,6762,7047
69951,6805,7009
69956,6854,6970
69961,6908,6932
69966,6968,6913
69971,7033,6903
69976,7102,6903
69981,7174,6903
69986,7249,6932
69991,7327,6961
69996,7405,6999
70001,7485,7038
70006,7565,7076
70011,7644,7115
70016,7722,7144
70021,7798,7192
70026,7872,7231
70031,7942,7269
70036,8008,7308
70041,8070,7356
70046,8126,7394
70051,8177,7433
70056,8222,7481
70061,8261,7519
70066,8293,7558
70071,8318,7606
70076,8335,7645
70081,8346,7683
70086,8348,7732
70091,8343,7771
70096,8331,7809
70101,8311,7858
70106,8284,7897
70111,8251,7926
70116,8210,7974
70121,8163,8013
70126,8111,8051
70131,8052,8071
70136,7989,8100
70141,7922,8100
70146,7851,8090
70151,7777,8071
70156,7700,8051
70161,7621,8022
70166,7542,7984
70171,7462,7945
70176,7383,7906
70181,7304,7867
70186,7227,7829
70191,7153,7780
70196,7081,7751
70201,7014,7703
70206,6950,7664
70211,6892,7616
70216,6839,7577
70221,6792,7538
70226,6751,7491
70231,6716,7452
70236,6689,7414
70241,6669,7366
70246,6656,7317
70251,6651,7288
70256,6653,7250
70261,6663,7202
70266,6680,7163
70271,6704,7115
70276,6736,7076
70281,6774,7038
70286,6819,7009
70291,6869,6961
70296,6926,6932
70301,6987,6903
70306,7053,6903
70311,7123,6903
70315,7196,6922
70320,7272,6941
70325,7350,6970
70330,7429,7009
70335,7509,7047
70340,7589,7086
70345,7668,7125
70350,7745,7163
70355,7820,7202
70360,7893,7250
70365,7962,7288
70370,8027,7317
70375,8087,7366
70380,8142,7414
70385,8191,7452
70390,8235,7491
70395,8271,7538
70400,8301,7577
70405,8324,7616
70410,8339,7664
70415,8347,7703
70420,8348,7751
70425,8341,7790
70430,8326,7829
70435,8304,7867
70440,8275,7906
70445,8239,7945
70450,8197,7984
70455,8148,8022
70460,8094,8071
70465,8034,8081
70470,7970,8100
70475,7901,8110
70480,7829,8090
70485,7754,8071
70490,7677,8042
70495,7598,8003
70500,7518,7974
70505,7439,7935
70510,7359,7897
70515,7281,7858
70520,7205,7819
70525,7131,7771
70530,7061,7732
70535,6995,7683
70540,6933,7645
70545,6876,7606
70550,6824,7558
70555,6779,7529
70560,6740,7481
70565,6708,7433
70570,6682,7404
70575,6664,7356
70580,6654,7308
70585,6651,7269
70590,6655,7231
70595,6667,7192
70600,6686,7154
70605,6713,7105
70610,6746,7067
70615,6786,7028
70620,6833,6990
70625,6885,6951
70630,6943,6922
70635,7006,6903
70640,7073,6903
70645,7144,6903
70650,7218,6922
70655,7295,6951
70660,7373,6990
70665,7452,7019
70670,7532,7057
70675,7612,7086
70680,7691,7125
70685,7768,7173
70690,7842,7211
70695,7914,7260
70700,7982,7288
70705,8045,7337
70710,8104,7375
70715,8157,7423
70720,8205,7462
70725,8246,7500
70730,8281,7538
70735,8309,7587
70740,8329,7635
70745,8342,7674
70750,8348,7713
70755,8346,7751
70760,8337,7800
70765,8320,7838
70770,8296,7877
70775,8265,7926
70780,8227,7955
70785,8183,8003
70790,8133,8042
70795,8077,8071
70800,8016,8090
70805,7950,8100
70810,7880,8110
70815,7808,8090
70820,7732,8061
70825,7654,8032
70830,7575,7993
70835,7495,7955
70840,7415,7926
70845,7336,7877
70850,7258,7838
70855,7183,7800
70860,7110,7761
70865,7041,7722
70870,6976,7674
70875,6915,7635
70880,6860,7587
70885,6810,7548
70890,6767,7509
70895,6730,7472
70900,6699,7433
70905,6676,7375
70910,6660,7346
70915,6652,7298
70920,6651,7260
70925,6658,7221
70930,6672,7182
70935,6693,7134
70940,6722,7086
70945,6757,7057
70950,6799,7019
70955,6848,6980
70960,6902,6941
70965,6961,6913
70970,7025,6903
70975,7093,6903
70980,7165,6903
70985,7240,6932
70990,7317,6961
70995,7396,6990
71000,7476,7028
71005,7556,7067
71010,7635,7105
71015,7713,7144
71020,7790,7182
71025,7864,7221
71030,7934,7269
71035,8001,7298
71040,8063,7337
71045,8120,7385
71050,8172,7433
71055,8218,7481
71060,8257,7519
71065,8290,7548
71070,8315,7596
71075,8334,7635
71080,8345,7674
71085,8348,7722
71090,8344,7761
71095,8333,7809
71100,8314,7848
71105,8288,7897
71110,8255,7926
71115,8215,7964
71120,8169,8013
71125,8117,8042
71130,8059,8081
71135,7997,8090
71140,7930,8100
71145,7859,8090
71150,7785,8071
71155,7709,8051
71160,7631,8022
71165,7551,7984
71170,7471,7945
71175,7392,7906
71180,7313,7867
71185,7236,7829
71190,7161,7790
71195,7089,7751
71200,7021,7703
71205,6958,7664
71210,6898,7616
71215,6845,7577
71220,6797,7538
71225,6755,7491
71230,6720,7452
71235,6692,7414
71240,6671,7366
71245,6657,7327
71250,6651,7288
71255,6652,7250
71260,6661,7202
71265,6677,7163
71270,6701,7125
71275,6732,7086
71280,6769,7038
71285,6813,6999
71290,6863,6961
71295,6919,6932
71300,6979,6903
71305,7045,6903
71310,7114,6903
71315,7187,6913
71320,7263,6932
71325,7341,6961
71330,7420,6999
71335,7500,7038
71340,7579,7076
71345,7658,7115
71350,7736,7163
71355,7812,7192
71360,7885,7231
71365,7954,7279
71370,8019,7317
71375,8080,7366
71380,8136,7414
71385,8186,7443
71390,8230,7481
71395,8267,7529
71400,8298,7567
71405,8322,7616
71410,8338,7654
71415,8347,7693
71420,8348,7742
71425,8342,7780
71430,8328,7819
71435,8307,7867
71440,8279,7897
71445,8244,7935
71450,8202,7984
71455,8154,8022
71460,8101,8061
71465,8042,8081
71470,7978,8100
71475,7910,8110
71480,7838,8100
71485,7763,8071
71490,7686,8042
71495,7607,8013
71500,7528,7984
71505,7448,7935
71510,7368,7897
71515,7290,7867
71520,7214,7819
71525,7140,7780
71530,7069,7742
71535,7002,7693
71540,6940,7654
71545,6882,7616
71550,6830,7567
71555,6784,7538
71560,6744,7491
71565,6711,7443
71570,6685,7414
71575,6666,7366
71580,6655,7317
71585,6651,7279
71590,6654,7240
71595,6665,7192
71600,6684,7154
71605,6709,7115
71610,6742,7076
71615,6781,7038
71620,6827,6999
71625,6879,6961
71630,6936,6932
71635,6998,6903
71640,7065,6903
71645,7135,6903
71650,7209,6922
71655,7286,6951
71660,7364,6980
71665,7443,7009
71670,7523,7057
71675,7603,7086
71680,7682,7125
71685,7759,7173
71690,7834,7202
71695,7905,7250
71700,7974,7288
71705,8038,7337
71710,8097,7366
71715,8151,7414
71720,8200,7462
