theta,desired,actual
14685,7054,7587
14690,6789,7577
14695,6659,7577
14700,6689,7548
14705,6873,7529
14710,7177,7481
14715,7542,7443
14720,7899,7414
14725,8180,7414
14730,8331,7414
14735,8324,7443
14740,8160,7472
14745,7871,7500
14025,8108,7481
14030,7772,7519
14035,7378,7548
14040,7010,7577
14045,6748,7577
14050,6651,7567
14055,6738,7538
14060,6992,7519
14065,7356,7481
14070,7751,7443
14075,8092,7423
14080,8303,7423
14085,8340,7433
14090,8193,7472
14095,7895,7500
14100,7511,7538
14105,7124,7567
14110,6819,7577
14115,6663,7567
14120,6689,7538
14125,6891,7519
14130,7227,7481
14135,7621,7443
14140,7989,7414
14145,8251,7414
14150,8348,7423
14155,8261,7452
14160,8008,7481
14165,7643,7519
14170,7248,7548
14175,6907,7577
14180,6696,7567
14185,6659,7548
14190,6806,7529
14195,7104,7491
14200,7488,7462
14205,7875,7433
14210,8180,7414
14215,8336,7423
14220,8310,7452
14225,8108,7481
14230,7773,7509
14235,7378,7548
14240,7010,7567
14245,6748,7577
14250,6651,7567
14255,6738,7538
14260,6991,7509
14265,7356,7481
14270,7751,7433
14275,8092,7423
14280,8303,7423
14285,8340,7433
14290,8193,7462
14295,7895,7491
14300,7511,7538
14305,7124,7558
14310,6819,7577
14315,6663,7567
14320,6689,7538
14325,6891,7519
14330,7226,7481
14335,7621,7443
14340,7989,7414
14345,8251,7414
14350,8348,7423
14355,8261,7443
14360,8008,7481
14365,7644,7509
14370,7248,7538
14375,6907,7567
14380,6696,7567
14385,6659,7538
14390,6806,7529
14395,7104,7491
14400,7488,7452
14405,7875,7423
14410,8179,7414
14415,8336,7414
14420,8310,7433
14425,8108,7472
14430,7773,7500
14435,7378,7538
14440,7010,7567
14445,6748,7577
14450,6651,7558
14455,6738,7538
14460,6991,7509
14465,7355,7472
14470,7751,7433
14475,8092,7414
14480,8303,7423
14485,8340,7433
14490,8193,7472
14495,7895,7500
14500,7511,7538
14505,7124,7567
14510,6820,7577
14515,6663,7567
14520,6689,7538
14525,6891,7519
