theta,desired,actual
24433,7004,7732
24438,6884,7693
24443,6785,7654
24448,6712,7616
24453,6667,7577
24458,6651,7538
24463,6665,7491
24468,6708,7452
24473,6780,7414
24478,6877,7366
24483,6996,7337
24488,7133,7288
24493,7283,7250
9190,8245,7538
9195,8139,7577
9200,8002,7625
9205,7840,7664
9210,7663,7703
9215,7477,7732
9220,7292,7732
9225,7118,7722
9230,6962,7693
9235,6831,7664
9240,6733,7625
9245,6672,7587
9250,6651,7538
9255,6670,7500
9260,6730,7472
9265,6826,7433
9270,6955,7385
9275,7110,7337
9280,7284,7298
9285,7469,7269
9290,7655,7250
9295,7833,7269
9300,7995,7288
9305,8134,7317
9310,8241,7356
9315,8313,7394
9320,8346,7433
9325,8339,7481
9330,8290,7519
9335,8204,7558
9340,8084,7596
9345,7935,7635
9350,7766,7674
9355,7583,7713
9360,7397,7732
9365,7216,7742
9370,7048,7722
9375,6902,7683
9380,6785,7654
9385,6702,7616
9390,6658,7577
9395,6654,7538
9400,6691,7491
9405,6767,7452
9410,6878,7423
9415,7019,7375
9420,7183,7337
9425,7363,7279
9430,7549,7269
9435,7732,7260
9440,7905,7279
9445,8058,7308
9450,8184,7337
9455,8277,7375
9460,8333,7414
9465,8348,7452
9470,8323,7491
9475,8258,7538
9480,8156,7577
9485,8023,7625
9490,7865,7664
9495,7689,7693
9500,7504,7732
9505,7318,7742
9510,7142,7732
9515,6983,7703
9520,6848,7674
9525,6745,7635
9530,6678,7606
9535,6651,7558
9540,6665,7519
9545,6719,7481
9550,6810,7433
9555,6935,7404
9560,7087,7356
9565,7259,7308
9570,7442,7279
9575,7628,7260
9580,7808,7260
9585,7973,7279
9590,8115,7308
9595,8228,7346
9600,8306,7375
9605,8344,7423
9610,8342,7462
9615,8300,7500
9620,8218,7538
9625,8103,7577
9630,7958,7625
9635,7791,7664
9640,7610,7703
9645,7424,7732
9650,7241,7732
9655,7071,7713
9660,6921,7683
9665,6800,7654
9670,6712,7616
9675,6662,7577
9680,6652,7538
9685,6683,7500
9690,6754,7462
9695,6860,7423
9700,6997,7375
9705,7159,7337
9710,7336,7298
9715,7522,7269
9720,7707,7260
9725,7881,7269
9730,8037,7298
9735,8168,7337
9740,8266,7366
9745,8327,7414
9750,8348,7443
9755,8329,7491
9760,8269,7538
9765,8173,7577
9770,8044,7616
9775,7889,7654
9780,7715,7683
9785,7530,7732
9790,7345,7742
9795,7166,7732
9800,7004,7713
9805,6866,7683
9810,6758,7645
9815,6686,7616
9820,6653,7567
9825,6660,7529
9830,6709,7491
9835,6795,7443
9840,6915,7414
9845,7064,7366
9850,7233,7317
