theta,desired,actual
71735,8306,7577
71740,8327,7625
71745,8341,7664
71750,8348,7703
71755,8347,7751
71760,8339,7790
71765,8323,7829
71770,8300,7877
71775,8269,7926
71780,8232,7955
71785,8189,7993
71790,8139,8022
71795,8084,8071
9640,7189,7819
9645,7093,7780
9650,7002,7742
9655,6920,7693
9660,6847,7664
9665,6784,7616
9670,6732,7577
9675,6693,7538
9680,6666,7491
9685,6652,7452
9690,6652,7414
9695,6665,7366
9700,6691,7327
9705,6730,7288
9710,6782,7250
9715,6844,7202
9720,6917,7163
9725,6999,7115
9730,7088,7086
9735,7185,7067
9740,7286,7057
9745,7391,7057
9750,7497,7076
9755,7604,7105
9760,7708,7134
9765,7810,7182
9770,7906,7211
9775,7997,7260
9780,8079,7288
9785,8152,7337
9790,8215,7375
9795,8267,7423
9800,8306,7462
9805,8333,7500
9810,8347,7538
9815,8347,7577
9820,8334,7625
9825,8308,7664
9830,8269,7713
9835,8217,7751
9840,8155,7790
9845,8082,7829
9850,8000,7867
9855,7911,7916
9860,7814,7935
9865,7713,7945
9870,7608,7935
9875,7502,7926
9880,7396,7897
9885,7291,7867
9890,7189,7829
9895,7093,7790
9900,7003,7751
9905,6920,7703
9910,6847,7664
9915,6784,7616
9920,6732,7577
9925,6693,7538
9930,6666,7491
9935,6652,7462
9940,6652,7414
9945,6665,7366
9950,6691,7327
9955,6730,7288
9960,6781,7250
9965,6844,7202
9970,6917,7163
9975,6999,7125
9980,7088,7086
9985,7185,7067
9990,7286,7057
9995,7391,7057
10000,7497,7076
10005,7603,7115
10010,7708,7144
10015,7810,7182
10020,7906,7211
10025,7996,7260
10030,8079,7288
10035,8152,7337
10040,8215,7375
10045,8267,7423
10050,8306,7462
10055,8333,7500
10060,8347,7538
10065,8347,7577
10070,8334,7625
10075,8308,7674
10080,8269,7713
10085,8218,7761
10090,8155,7790
10095,8082,7829
10100,8000,7877
10105,7911,7906
10110,7814,7926
10115,7713,7945
10120,7608,7935
10125,7502,7926
10130,7396,7897
10135,7291,7858
10140,7189,7819
10145,7093,7780
10150,7003,7751
10155,6920,7703
10160,6847,7664
10165,6784,7616
10170,6732,7577
10175,6693,7538
10180,6666,7491
10185,6652,7452
10190,6652,7414
10195,6665,7366
10200,6691,7327
10205,6730,7288
10210,6781,7250
10215,6844,7202
10220,6917,7163
10225,6999,7115
10230,7088,7086
10235,7185,7067
10240,7286,7057
10245,7391,7057
10250,7497,7076
10255,7603,7105
10260,7708,7134
10265,7810,7182
10270,7906,7221
10275,7996,7260
10280,8079,7298
10285,8152,7337
10290,8215,7375
10295,8267,7423
10300,8306,7462
10305,8333,7500
10310,8347,7538
10315,8347,7587
10320,8334,7625
10325,8308,7674
10330,8269,7713
10335,8218,7751
10340,8155,7790
10345,8082,7838
10350,8000,7867
10355,7911,7916
10360,7814,7935
10365,7713,7945
10370,7608,7935
10375,7502,7926
10380,7396,7897
10385,7291,7867
10390,7189,7829
10395,7093,7780
10400,7003,7751
10405,6920,7703
10410,6847,7664
10415,6784,7616
10420,6732,7577
10425,6693,7538
10430,6666,7500
10435,6652,7462
10440,6652,7414
10445,6665,7366
10450,6691,7327
10455,6730,7288
10460,6781,7250
10465,6844,7202
10470,6917,7163
10475,6999,7125
10480,7088,7086
10485,7185,7067
10490,7286,7057
10495,7391,7067
10500,7497,7076
10505,7603,7115
10510,7708,7144
10515,7810,7182
10520,7906,7211
10525,7996,7260
10530,8079,7288
10535,8152,7337
10540,8215,7375
10545,8266,7423
10550,8306,7462
10555,8333,7500
10560,8347,7538
10565,8347,7577
10570,8334,7625
10575,8308,7674
10580,8269,7713
10585,8218,7761
10590,8155,7800
10595,8082,7829
10600,8000,7877
10605,7911,7916
10610,7814,7935
10615,7713,7945
10620,7608,7935
10625,7502,7926
10630,7396,7897
10635,7291,7858
10640,7189,7819
10645,7093,7780
10650,7003,7742
10655,6920,7693
10660,6847,7664
10665,6784,7616
10670,6733,7577
10675,6693,7538
10680,6666,7491
10685,6652,7452
10690,6652,7414
10695,6665,7366
10700,6691,7317
10705,6730,7288
10710,6781,7250
10715,6844,7202
10720,6917,7163
10725,6999,7115
10730,7088,7086
10735,7185,7067
10740,7286,7047
10745,7391,7067
10750,7497,7076
10755,7603,7105
10760,7708,7134
10765,7810,7182
10770,7906,7211
10775,7996,7260
10780,8079,7288
10785,8152,7327
10790,8215,7375
10795,8266,7414
10800,8306,7462
10805,8333,7500
10810,8347,7538
10815,8347,7577
10820,8334,7625
10825,8308,7664
10830,8269,7713
10835,8218,7751
10840,8155,7790
10845,8082,7829
10850,8000,7877
10855,7911,7916
10860,7814,7935
10865,7713,7945
10870,7608,7935
10875,7502,7926
10880,7396,7897
10885,7291,7858
10890,7189,7829
10895,7093,7780
10900,7003,7751
10905,6920,7703
10910,6847,7664
10915,6784,7616
10920,6733,7577
10925,6693,7538
10930,6666,7491
10935,6652,7462
10940,6652,7414
10945,6665,7366
10950,6691,7327
10955,6730,7288
10960,6781,7250
10965,6844,7202
10970,6917,7163
10975,6998,7115
10980,7088,7086
10985,7185,7067
10990,7286,7057
10995,7391,7067
11000,7497,7086
11005,7603,7115
11010,7708,7144
11015,7810,7182
11020,7906,7221
11025,7996,7260
11030,8079,7298
11035,8152,7337
11040,8215,7375
11045,8266,7423
11050,8306,7462
11055,8333,7500
11060,8347,7538
11065,8347,7587
11070,8334,7625
11075,8308,7674
11080,8269,7713
11085,8218,7761
11090,8155,7790
11095,8082,7829
11100,8001,7877
11105,7911,7926
11110,7814,7935
11115,7713,7935
11120,7608,7926
11125,7502,7926
11130,7396,7897
11135,7291,7858
11140,7189,7819
11145,7093,7780
11150,7003,7751
11155,6920,7693
11160,6847,7664
11165,6784,7625
11170,6733,7577
11175,6693,7538
11180,6666,7491
11185,6652,7452
11190,6652,7414
11195,6665,7366
11200,6691,7327
11205,6730,7288
11210,6781,7250
11215,6844,7202
11220,6917,7163
11225,6998,7115
11230,7088,7086
11235,7185,7067
11240,7286,7057
11245,7391,7067
11250,7497,7076
11255,7603,7105
11260,7708,7134
11265,7810,7182
11270,7906,7221
11275,7996,7260
11280,8079,7288
11285,8152,7337
11290,8215,7375
11295,8266,7423
11300,8306,7462
11305,8333,7500
11310,8347,7538
11315,8347,7577
11320,8334,7625
11325,8308,7674
11330,8269,7713
11335,8218,7751
11340,8155,7800
11345,8082,7838
11350,8001,7877
11355,7911,7916
11360,7814,7935
11365,7713,7945
11370,7608,7935
11375,7502,7926
11380,7396,7897
11385,7291,7867
11390,7189,7829
11395,7093,7790
11400,7003,7751
11405,6920,7703
11410,6847,7664
11415,6784,7625
11420,6733,7577
11425,6693,7538
11430,6666,7500
11435,6652,7462
11440,6652,7414
11445,6665,7366
11450,6691,7327
11455,6730,7288
11460,6781,7250
11465,6844,7202
11470,6917,7173
11475,6998,7125
11480,7088,7086
11485,7185,7067
11490,7286,7067
11495,7391,7067
11500,7497,7076
11505,7603,7115
11510,7708,7144
11515,7810,7182
11520,7906,7221
11525,7996,7260
11530,8079,7298
11535,8152,7337
11540,8215,7375
11545,8266,7423
11550,8306,7462
11555,8333,7500
11560,8347,7538
11565,8347,7587
11570,8334,7625
11575,8308,7674
11580,8269,7722
11585,8218,7761
11590,8155,7790
11595,8083,7838
11600,8001,7877
11605,7911,7916
11610,7814,7935
11615,7713,7945
11620,7609,7935
11625,7502,7926
11630,7396,7897
11635,7291,7858
11640,7190,7819
11645,7093,7780
11650,7003,7751
11655,6920,7703
11660,6847,7664
11665,6784,7625
11670,6733,7577
11675,6693,7538
11680,6666,7500
11685,6652,7452
11690,6652,7414
11695,6665,7366
11700,6691,7327
11705,6730,7288
11710,6781,7250
11715,6844,7202
11720,6916,7163
11725,6998,7125
11730,7088,7086
11735,7185,7067
11740,7286,7057
11745,7390,7067
11750,7497,7076
11755,7603,7105
11760,7708,7134
11765,7810,7182
11770,7906,7221
11775,7996,7260
11780,8079,7288
11785,8152,7337
11790,8215,7375
11795,8266,7423
11800,8306,7462
11805,8333,7500
11810,8347,7538
11815,8347,7587
11820,8334,7625
11825,8308,7674
11830,8269,7713
11835,8218,7751
11840,8155,7800
11845,8083,7838
11850,8001,7877
11855,7911,7906
11860,7814,7935
11865,7713,7945
11870,7609,7935
11875,7502,7926
11880,7396,7897
11885,7291,7867
11890,7190,7829
11895,7093,7790
11900,7003,7751
11905,6920,7703
11910,6847,7664
11915,6784,7625
11920,6733,7577
11925,6693,7538
11930,6666,7491
11935,6652,7462
11940,6652,7423
11945,6665,7366
11950,6691,7327
11955,6730,7288
