theta,desired,actual
15200,7006,7674
15205,6849,7654
15210,6734,7616
15215,6667,7577
15220,6652,7538
15225,6690,7509
15230,6779,7472
15235,6914,7433
15240,7085,7385
15245,7282,7346
15250,7493,7308
15255,7704,7288
15260,7903,7288
7825,7889,7577
7830,7663,7625
7835,7424,7664
7840,7191,7674
7845,6983,7674
7850,6816,7645
7855,6702,7616
7860,6653,7577
7865,6670,7538
7870,6753,7500
7875,6896,7472
7880,7086,7423
7885,7310,7385
7890,7548,7346
7895,7783,7327
7900,7995,7327
7905,8167,7356
7910,8287,7375
7915,8344,7414
7920,8334,7452
7925,8258,7491
7930,8122,7538
7935,7936,7567
7940,7715,7616
7945,7478,7654
7950,7242,7674
7955,7026,7674
7960,6849,7654
7965,6722,7616
7970,6658,7577
7975,6660,7548
7980,6729,7519
7985,6860,7481
7990,7041,7433
7995,7258,7394
8000,7495,7356
8005,7732,7327
8010,7950,7327
8015,8133,7346
8020,8265,7375
8025,8337,7414
8030,8342,7443
8035,8280,7481
8040,8157,7529
8045,7981,7558
8050,7766,7606
8055,7531,7645
8060,7293,7664
8065,7072,7674
8070,6884,7654
8075,6745,7625
8080,6667,7596
8085,6654,7558
8090,6708,7529
8095,6826,7481
8100,6997,7443
8105,7207,7404
8110,7441,7366
8115,7680,7337
8120,7904,7327
8125,8096,7337
8130,8241,7366
8135,8327,7404
8140,8347,7433
8145,8300,7481
8150,8189,7519
8155,8024,7548
8160,7817,7587
8165,7584,7625
8170,7345,7664
8175,7118,7674
8180,6922,7664
8185,6771,7635
8190,6679,7606
8195,6651,7567
8200,6691,7529
8205,6795,7491
8210,6955,7443
8215,7158,7414
8220,7388,7366
8225,7627,7337
8230,7856,7327
8235,8057,7337
8240,8214,7366
8245,8313,7404
8250,8348,7433
8255,8316,7472
8260,8219,7509
8265,8065,7538
8270,7865,7577
8275,7637,7625
8280,7398,7664
8285,7167,7674
8290,6962,7664
8295,6800,7645
8300,6694,7616
8305,6651,7577
8310,6676,7538
8315,6766,7491
8320,6915,7452
8325,7110,7414
8330,7336,7375
8335,7574,7337
8340,7807,7317
8345,8016,7327
8350,8183,7356
8355,8296,7385
8360,8346,7423
8365,8329,7452
8370,8246,7491
8375,8103,7538
8380,7913,7577
8385,7689,7616
8390,7451,7654
8395,7217,7674
8400,7005,7674
8405,6832,7645
8410,6712,7616
8415,6655,7577
8420,6665,7538
8425,6741,7519
8430,6877,7481
8435,7063,7433
8440,7284,7385
8445,7521,7366
8450,7757,7327
8455,7973,7327
8460,8150,7346
8465,8277,7375
8470,8341,7414
8475,8339,7443
8480,8270,7481
8485,8140,7529
8490,7959,7567
8495,7741,7616
8500,7504,7645
8505,7267,7683
8510,7049,7674
8515,6866,7654
8520,6734,7625
8525,6662,7596
8530,6657,7558
8535,6718,7529
8540,6842,7481
8545,7018,7433
8550,7232,7404
8555,7468,7356
8560,7706,7337
8565,7927,7327
8570,8115,7346
8575,8254,7366
8580,8332,7414
8585,8345,7433
8590,8291,7481
8595,8173,7519
8600,8002,7558
8605,7792,7587
8610,7558,7635
8615,7319,7664
8620,7095,7674
8625,6903,7654
8630,6758,7625
8635,6672,7596
8640,6652,7558
8645,6699,7529
8650,6810,7481
8655,6975,7443
8660,7182,7404
8665,7415,7366
8670,7654,7327
8675,7880,7327
8680,8077,7337
8685,8228,7366
8690,8320,7404
8695,8348,7433
8700,8308,7481
8705,8204,7509
8710,8044,7548
8715,7841,7587
8720,7611,7635
8725,7372,7674
8730,7143,7674
8735,6942,7664
8740,6786,7635
8745,6686,7606
8750,6651,7567
8755,6683,7538
8760,6780,7491
8765,6934,7462
8770,7133,7414
8775,7362,7366
8780,7601,7337
8785,7832,7327
8790,8037,7337
8795,8199,7366
8800,8305,7394
8805,8348,7433
8810,8323,7462
8815,8233,7500
8820,8084,7538
8825,7889,7577
8830,7664,7625
8835,7425,7664
8840,7192,7674
8845,6983,7674
8850,6816,7654
8855,6703,7616
8860,6653,7577
8865,6670,7548
8870,6753,7509
8875,6896,7481
8880,7086,7433
8885,7309,7385
8890,7548,7356
8895,7782,7356
8900,7994,7337
8905,8167,7356
8910,8287,7385
8915,8344,7423
8920,8334,7452
8925,8258,7481
8930,8122,7538
8935,7936,7577
8940,7716,7616
8945,7478,7654
8950,7242,7674
8955,7027,7674
8960,6849,7654
8965,6723,7625
8970,6658,7587
8975,6660,7558
8980,6729,7519
8985,6859,7481
8990,7040,7433
8995,7258,7404
9000,7494,7356
9005,7731,7337
9010,7950,7327
9015,8133,7346
9020,8265,7375
9025,8337,7414
9030,8342,7443
9035,8281,7481
9040,8157,7529
9045,7981,7567
9050,7767,7616
9055,7531,7645
9060,7293,7674
9065,7072,7674
9070,6884,7654
9075,6746,7625
9080,6667,7596
9085,6654,7558
9090,6708,7529
9095,6826,7481
9100,6996,7443
9105,7207,7404
9110,7441,7356
9115,7680,7327
9120,7904,7327
9125,8096,7337
9130,8241,7366
9135,8327,7404
9140,8347,7433
9145,8300,7481
9150,8189,7519
9155,8024,7558
9160,7817,7587
9165,7585,7635
