theta,desired,actual
12265,8311,7452
12270,8009,7481
12275,7513,7500
12280,7012,7538
12285,6697,7538
12290,6688,7538
12295,6990,7519
12300,7486,7481
12305,7987,7462
12310,8302,7443
12315,8311,7452
12320,8010,7481
12325,7513,7509
6745,6835,7538
6750,6651,7538
6755,6822,7538
6760,7278,7500
6765,7827,7481
6770,8238,7452
6775,8339,7452
6780,8088,7472
6785,7590,7500
6790,7053,7538
6795,6704,7538
6800,6689,7538
6805,7014,7529
6810,7542,7491
6815,8053,7472
6820,8331,7462
6825,8261,7472
6830,7870,7491
6835,7325,7529
6840,6852,7548
6845,6651,7548
6850,6807,7538
6855,7253,7509
6860,7802,7481
6865,8225,7452
6870,8343,7452
6875,8107,7472
6880,7616,7491
6885,7076,7529
6890,6714,7538
6895,6681,7538
6900,6992,7529
6905,7516,7491
6910,8032,7472
6915,8326,7462
6920,8272,7472
6925,7894,7491
6930,7351,7519
6935,6870,7538
6940,6653,7548
6945,6792,7538
6950,7227,7509
6955,7777,7481
6960,8211,7452
6965,8346,7452
6970,8125,7472
6975,7643,7491
6980,7100,7529
6985,6725,7538
6990,6675,7538
6995,6971,7529
7000,7489,7491
7005,8011,7472
7010,8319,7462
7015,8283,7472
7020,7918,7491
7025,7377,7519
7030,6888,7538
7035,6655,7538
7040,6777,7538
7045,7202,7509
7050,7752,7481
7055,8196,7452
7060,8347,7452
7065,8143,7472
7070,7669,7491
7075,7124,7529
7080,6736,7538
7085,6669,7538
7090,6950,7529
7095,7462,7500
7100,7990,7472
7105,8312,7462
7110,8293,7462
7115,7941,7481
7120,7404,7509
7125,6907,7548
7130,6659,7538
7135,6763,7529
7140,7177,7500
7145,7726,7472
7150,8180,7443
7155,8348,7443
7160,8160,7462
7165,7695,7491
7170,7148,7529
7175,6748,7538
7180,6664,7538
7185,6930,7529
7190,7436,7500
7195,7968,7472
7200,8303,7452
7205,8302,7462
7210,7963,7481
7215,7430,7500
7220,6926,7538
7225,6663,7538
7230,6751,7529
7235,7153,7500
7240,7700,7472
7245,8164,7433
7250,8348,7433
7255,8177,7462
7260,7721,7481
7265,7172,7519
7270,6761,7538
7275,6659,7538
7280,6911,7529
7285,7409,7491
7290,7945,7472
7295,8294,7452
7300,8310,7452
7305,7986,7481
7310,7457,7500
7315,6946,7538
7320,6668,7538
7325,6738,7529
7330,7128,7500
7335,7674,7472
7340,8147,7443
7345,8348,7443
7350,8193,7462
7355,7747,7481
7360,7197,7519
7365,6774,7538
7370,6656,7538
7375,6892,7529
7380,7382,7500
7385,7922,7481
7390,8285,7452
7395,8318,7462
7400,8007,7481
7405,7484,7509
7410,6967,7538
7415,6674,7538
7420,6727,7538
7425,7104,7509
7430,7648,7481
7435,8129,7452
7440,8346,7452
7445,8208,7462
7450,7772,7491
7455,7222,7529
7460,6789,7538
7465,6653,7548
7470,6873,7538
7475,7356,7500
7480,7899,7481
7485,8274,7462
7490,8324,7462
7495,8028,7481
7500,7510,7519
7505,6988,7538
7510,6680,7538
7515,6716,7538
7520,7081,7519
7525,7621,7481
7530,8111,7462
7535,8343,7452
7540,8222,7472
7545,7797,7491
7550,7248,7529
7555,6804,7538
7560,6652,7538
7565,6856,7529
7570,7330,7500
7575,7875,7481
7580,8263,7452
7585,8330,7452
7590,8049,7472
7595,7537,7500
7600,7010,7538
7605,6687,7538
7610,6706,7538
7615,7058,7509
7620,7595,7481
7625,8092,7452
7630,8340,7452
7635,8236,7462
7640,7822,7491
7645,7273,7519
7650,6819,7538
7655,6651,7538
7660,6838,7538
7665,7304,7500
7670,7851,7481
7675,8251,7452
7680,8335,7452
7685,8069,7481
7690,7564,7500
7695,7032,7529
7700,6696,7538
7705,6697,7538
7710,7035,7529
7715,7568,7491
7720,8072,7462
7725,8336,7462
7730,8249,7472
7735,7847,7491
7740,7299,7529
7745,6836,7548
7750,6651,7558
7755,6822,7538
7760,7278,7519
7765,7826,7491
7770,8238,7462
7775,8340,7462
7780,8089,7481
7785,7590,7509
7790,7054,7538
7795,6705,7548
7800,6689,7538
7805,7013,7538
7810,7542,7500
7815,8052,7481
7820,8331,7472
7825,8261,7481
7830,7871,7500
7835,7325,7538
7840,6853,7558
7845,6651,7558
7850,6806,7538
7855,7252,7519
7860,7802,7481
7865,8224,7472
7870,8343,7472
7875,8108,7481
7880,7617,7509
7885,7077,7538
7890,6714,7548
7895,6681,7548
7900,6991,7538
7905,7515,7509
7910,8032,7481
7915,8325,7472
7920,8272,7481
7925,7895,7500
7930,7352,7538
7935,6870,7558
7940,6653,7558
7945,6791,7538
7950,7226,7529
7955,7776,7491
7960,8210,7462
7965,8346,7462
7970,8126,7481
7975,7643,7500
7980,7101,7529
7985,6725,7548
7990,6675,7538
7995,6970,7529
8000,7488,7500
8005,8011,7481
8010,8319,7462
8015,8283,7472
8020,7918,7491
8025,7378,7529
8030,6889,7548
8035,6656,7548
8040,6777,7538
8045,7201,7519
8050,7751,7481
8055,8195,7462
8060,8347,7462
8065,8144,7481
8070,7670,7500
8075,7124,7529
