theta,desired,actual
11775,7877,7404
11780,8148,7404
11785,8312,7414
11790,8343,7433
11795,8235,7472
11800,8005,7500
11805,7693,7538
11810,7349,7577
11815,7030,7606
11820,6787,7606
11825,6663,7577
11830,6675,7558
11835,6823,7529
10565,7037,7491
10570,7384,7462
10575,7753,7423
10580,8074,7404
10585,8285,7414
10590,8347,7433
10595,8248,7452
10600,8006,7481
10605,7667,7529
10610,7297,7558
10615,6965,7577
10620,6735,7577
10625,6651,7558
10630,6728,7538
10635,6952,7500
10640,7280,7462
10645,7650,7423
10650,7991,7404
10655,8239,7414
10660,8346,7423
10665,8292,7452
10670,8087,7481
10675,7770,7519
10680,7402,7558
10685,7052,7587
10690,6788,7587
10695,6658,7577
10700,6690,7548
10705,6875,7529
10710,7179,7481
10715,7544,7452
10720,7901,7414
10725,8181,7414
10730,8332,7423
10735,8324,7452
10740,8159,7481
10745,7869,7519
10750,7508,7558
10755,7146,7577
10760,6851,7596
10765,6680,7577
10770,6664,7558
10775,6808,7538
10780,7083,7500
10785,7437,7462
10790,7804,7433
10795,8112,7414
10800,8304,7423
10805,8343,7443
10810,8221,7481
10815,7962,7519
10820,7615,7548
10825,7246,7577
10830,6925,7596
10835,6714,7587
10840,6652,7577
10845,6751,7538
10850,6993,7519
10855,7332,7481
10860,7702,7433
10865,8034,7414
10870,8264,7414
10875,8348,7433
10880,8271,7462
10885,8047,7491
10890,7719,7538
10895,7349,7567
10900,7008,7587
10905,6760,7587
10910,6653,7577
10915,6707,7548
10920,6912,7519
10925,7229,7481
10930,7597,7433
10935,7947,7414
10940,8211,7414
10945,8340,7423
10950,8310,7443
10955,8124,7481
10960,7820,7519
10965,7455,7548
10970,7098,7577
10975,6818,7587
10980,6667,7577
10985,6675,7548
10990,6840,7529
10995,7130,7481
11000,7490,7443
11005,7853,7423
11010,8148,7414
11015,8319,7414
11020,8335,7433
11025,8192,7472
11030,7916,7500
11035,7562,7538
11040,7195,7577
11045,6887,7577
11050,6695,7577
11055,6656,7558
11060,6778,7529
11065,7037,7491
11070,7384,7462
11075,7753,7423
11080,8074,7414
11085,8285,7414
11090,8347,7433
11095,8248,7462
11100,8006,7491
11105,7667,7538
11110,7297,7567
11115,6965,7587
11120,6735,7587
11125,6651,7567
11130,6728,7538
11135,6951,7519
11140,7280,7481
11145,7650,7433
11150,7991,7414
11155,8239,7414
11160,8346,7433
11165,8292,7462
11170,8087,7491
11175,7770,7538
11180,7402,7558
11185,7052,7587
11190,6788,7596
11195,6659,7577
11200,6689,7558
11205,6875,7529
11210,7179,7491
11215,7544,7452
11220,7900,7423
11225,8181,7414
11230,8332,7423
11235,8324,7452
11240,8159,7481
11245,7869,7519
11250,7509,7548
11255,7146,7577
11260,6851,7587
11265,6680,7577
11270,6664,7558
11275,6807,7538
11280,7083,7491
11285,7437,7452
11290,7803,7423
11295,8112,7414
11300,8304,7414
11305,8343,7433
11310,8221,7472
11315,7962,7500
11320,7615,7538
11325,7246,7577
11330,6925,7587
11335,6714,7596
11340,6652,7567
11345,6751,7538
