theta,desired,actual
14800,8305,7385
14805,8348,7423
14810,8323,7462
14815,8234,7500
14820,8086,7538
14825,7891,7577
14830,7665,7625
14835,7427,7664
14840,7194,7674
14845,6985,7674
14850,6817,7654
14855,6703,7616
14860,6653,7577
9515,8183,7366
9520,8305,7385
9525,8348,7423
9530,8309,7462
9535,8190,7491
9540,8003,7538
9545,7767,7577
9550,7505,7616
9555,7243,7654
9560,7005,7654
9565,6816,7635
9570,6694,7616
9575,6651,7577
9580,6690,7538
9585,6809,7509
9590,6996,7472
9595,7232,7423
9600,7494,7375
9605,7756,7366
9610,7994,7356
9615,8183,7366
9620,8305,7404
9625,8348,7423
9630,8309,7462
9635,8190,7500
9640,8003,7538
9645,7767,7577
9650,7505,7625
9655,7243,7635
9660,7005,7654
9665,6816,7635
9670,6694,7616
9675,6651,7577
9680,6690,7538
9685,6809,7509
9690,6996,7472
9695,7232,7423
9700,7494,7385
9705,7756,7356
9710,7994,7356
9715,8183,7366
9720,8305,7394
9725,8348,7433
9730,8309,7462
9735,8190,7491
9740,8003,7538
9745,7767,7577
9750,7505,7616
9755,7243,7654
9760,7005,7654
9765,6816,7635
9770,6694,7616
9775,6651,7577
9780,6690,7538
9785,6809,7500
9790,6996,7472
9795,7232,7423
9800,7494,7385
9805,7756,7366
9810,7994,7356
9815,8183,7366
9820,8305,7394
9825,8348,7433
9830,8309,7462
9835,8190,7491
9840,8003,7538
9845,7768,7577
9850,7506,7616
9855,7243,7654
9860,7005,7654
9865,6816,7635
9870,6694,7616
9875,6651,7577
9880,6690,7538
9885,6809,7500
9890,6996,7472
9895,7231,7423
9900,7493,7375
9905,7756,7356
9910,7994,7356
9915,8183,7366
9920,8305,7394
9925,8348,7433
9930,8309,7462
9935,8190,7500
9940,8003,7538
9945,7768,7577
9950,7506,7616
9955,7243,7654
9960,7005,7654
9965,6816,7635
9970,6694,7616
9975,6651,7577
9980,6690,7538
9985,6809,7500
9990,6996,7472
9995,7231,7433
10000,7493,7385
10005,7756,7356
10010,7994,7356
10015,8183,7366
10020,8305,7394
10025,8348,7433
10030,8309,7462
10035,8190,7491
10040,8003,7538
10045,7768,7577
10050,7506,7616
10055,7243,7654
10060,7005,7654
10065,6816,7635
10070,6694,7616
10075,6651,7577
10080,6690,7538
10085,6809,7500
10090,6996,7462
10095,7231,7423
10100,7493,7385
10105,7756,7366
10110,7993,7356
10115,8183,7366
10120,8305,7394
10125,8348,7433
10130,8309,7462
10135,8190,7491
10140,8003,7538
10145,7768,7577
10150,7506,7616
10155,7243,7645
10160,7006,7654
10165,6816,7635
10170,6694,7616
10175,6651,7577
10180,6690,7538
10185,6809,7500
10190,6996,7462
10195,7231,7423
10200,7493,7385
10205,7756,7356
10210,7993,7356
10215,8183,7366
10220,8305,7394
10225,8348,7433
10230,8309,7462
10235,8190,7491
10240,8003,7538
10245,7768,7577
10250,7506,7616
10255,7243,7645
10260,7006,7654
10265,6816,7635
10270,6694,7616
10275,6651,7577
10280,6690,7538
10285,6809,7500
10290,6996,7462
10295,7231,7423
10300,7493,7385
10305,7756,7366
10310,7993,7356
10315,8183,7366
10320,8305,7394
10325,8348,7433
10330,8309,7462
10335,8190,7500
10340,8003,7538
10345,7768,7577
10350,7506,7616
10355,7243,7654
10360,7006,7654
10365,6816,7635
10370,6694,7616
10375,6651,7577
10380,6690,7538
10385,6809,7500
10390,6996,7462
10395,7231,7423
10400,7493,7385
10405,7756,7356
10410,7993,7356
10415,8183,7366
10420,8305,7394
10425,8348,7433
10430,8309,7462
10435,8190,7500
10440,8003,7538
10445,7768,7577
10450,7506,7616
10455,7243,7654
10460,7006,7654
10465,6816,7635
10470,6694,7616
10475,6651,7577
10480,6690,7538
10485,6809,7500
10490,6996,7462
10495,7231,7423
10500,7493,7385
10505,7756,7356
10510,7993,7356
10515,8183,7366
10520,8305,7394
10525,8348,7433
10530,8309,7462
10535,8190,7500
10540,8003,7538
10545,7768,7577
10550,7506,7616
10555,7243,7645
10560,7006,7654
10565,6816,7635
10570,6694,7616
10575,6651,7577
10580,6690,7538
10585,6809,7500
10590,6996,7462
10595,7231,7423
10600,7493,7375
10605,7756,7356
10610,7993,7346
10615,8183,7366
10620,8305,7385
10625,8348,7423
10630,8309,7452
10635,8190,7491
10640,8004,7538
10645,7768,7577
10650,7506,7606
10655,7243,7635
10660,7006,7645
10665,6816,7625
10670,6694,7606
10675,6651,7567
10680,6690,7538
10685,6809,7500
10690,6995,7462
10695,7231,7414
10700,7493,7375
10705,7756,7346
10710,7993,7346
10715,8183,7356
10720,8305,7385
10725,8348,7414
10730,8309,7452
10735,8190,7491
10740,8004,7538
10745,7768,7567
10750,7506,7616
10755,7243,7645
10760,7006,7645
10765,6817,7625
10770,6694,7606
10775,6651,7567
10780,6690,7538
10785,6809,7491
10790,6995,7462
10795,7231,7414
10800,7493,7375
10805,7756,7356
10810,7993,7337
10815,8183,7356
10820,8305,7375
10825,8348,7414
10830,8309,7452
10835,8190,7491
10840,8004,7538
10845,7768,7567
10850,7506,7606
10855,7243,7635
10860,7006,7645
10865,6817,7625
10870,6694,7606
10875,6651,7567
10880,6690,7538
10885,6809,7491
10890,6995,7462
10895,7231,7414
10900,7493,7366
10905,7756,7346
10910,7993,7337
10915,8182,7356
10920,8305,7375
10925,8348,7414
10930,8309,7452
10935,8190,7491
10940,8004,7538
10945,7768,7567
10950,7506,7616
10955,7243,7635
10960,7006,7635
10965,6817,7625
10970,6694,7606
10975,6651,7567
10980,6690,7538
10985,6809,7491
10990,6995,7452
10995,7231,7414
11000,7493,7375
11005,7756,7337
11010,7993,7337
11015,8182,7356
11020,8305,7375
11025,8348,7414
11030,8309,7452
11035,8190,7491
11040,8004,7529
11045,7768,7567
11050,7506,7616
11055,7243,7635
11060,7006,7645
11065,6817,7625
11070,6694,7606
11075,6651,7577
11080,6690,7538
11085,6809,7500
11090,6995,7462
11095,7231,7423
11100,7493,7375
11105,7756,7356
11110,7993,7346
11115,8182,7366
11120,8305,7385
11125,8348,7414
11130,8309,7452
11135,8190,7491
11140,8004,7538
11145,7768,7577
11150,7506,7616
11155,7243,7645
11160,7006,7645
11165,6817,7625
11170,6694,7606
11175,6651,7577
11180,6690,7538
11185,6809,7500
11190,6995,7462
11195,7231,7414
11200,7493,7375
11205,7756,7346
11210,7993,7346
11215,8182,7356
11220,8305,7375
11225,8348,7414
11230,8309,7452
11235,8190,7491
11240,8004,7538
11245,7768,7567
11250,7506,7616
11255,7243,7645
11260,7006,7645
11265,6817,7625
11270,6694,7606
11275,6651,7577
11280,6690,7538
11285,6809,7500
11290,6995,7462
11295,7231,7423
11300,7493,7375
11305,7756,7356
11310,7993,7346
11315,8182,7366
11320,8305,7385
11325,8348,7423
11330,8309,7452
11335,8190,7491
11340,8004,7538
11345,7768,7577
11350,7506,7616
11355,7243,7645
11360,7006,7645
11365,6817,7625
11370,6694,7616
11375,6651,7577
11380,6690,7538
11385,6809,7500
11390,6995,7472
11395,7231,7423
11400,7493,7385
11405,7756,7356
11410,7993,7356
11415,8182,7366
11420,8305,7385
11425,8348,7423
11430,8309,7462
11435,8190,7491
11440,8004,7538
11445,7768,7577
11450,7506,7616
11455,7243,7654
11460,7006,7645
11465,6817,7625
11470,6694,7616
11475,6651,7577
11480,6690,7538
11485,6809,7500
11490,6995,7462
11495,7231,7423
11500,7493,7375
11505,7756,7356
11510,7993,7346
11515,8182,7366
11520,8305,7385
11525,8348,7414
11530,8309,7452
11535,8190,7491
11540,8004,7538
11545,7768,7577
11550,7506,7616
11555,7243,7645
11560,7006,7645
11565,6817,7625
11570,6694,7616
11575,6651,7577
11580,6690,7538
11585,6809,7500
11590,6995,7472
11595,7231,7423
11600,7493,7394
11605,7756,7356
11610,7993,7346
11615,8182,7366
11620,8305,7385
11625,8348,7423
11630,8309,7462
11635,8190,7491
11640,8004,7538
11645,7768,7577
11650,7506,7616
11655,7244,7635
11660,7006,7645
11665,6817,7625
11670,6694,7616
11675,6651,7577
11680,6690,7538
11685,6809,7500
11690,6995,7462
11695,7231,7423
11700,7493,7375
11705,7755,7356
11710,7993,7346
11715,8182,7366
11720,8305,7385
11725,8348,7423
11730,8309,7452
11735,8190,7491
11740,8004,7538
11745,7768,7577
11750,7506,7606
11755,7244,7635
11760,7006,7645
11765,6817,7625
11770,6694,7606
11775,6651,7577
11780,6690,7538
11785,6809,7500
11790,6995,7462
11795,7231,7423
11800,7493,7375
11805,7755,7375
11810,7993,7346
11815,8182,7356
11820,8305,7385
11825,8348,7414
11830,8309,7452
11835,8190,7491
11840,8004,7538
11845,7768,7577
11850,7506,7616
11855,7244,7635
11860,7006,7645
11865,6817,7625
11870,6694,7606
11875,6651,7567
11880,6690,7538
11885,6809,7491
11890,6995,7452
11895,7231,7414
11900,7493,7375
11905,7755,7346
11910,7993,7346
11915,8182,7366
11920,8305,7385
11925,8348,7414
11930,8309,7452
11935,8190,7491
11940,8004,7538
11945,7768,7567
11950,7506,7616
11955,7244,7635
11960,7006,7645
11965,6817,7625
11970,6694,7606
11975,6651,7567
11980,6690,7538
11985,6809,7491
11990,6995,7462
11995,7231,7414
12000,7493,7375
12005,7755,7346
12010,7993,7346
12015,8182,7366
12020,8305,7385
12025,8348,7423
12030,8309,7452
12035,8190,7491
