theta,desired,actual
28358,8162,8255
28363,8145,8245
28368,8128,8235
28373,8109,8216
28378,8091,8206
28383,8071,8197
28388,8051,8177
28393,8031,8158
28398,8010,8139
28403,7988,8119
28408,7966,8110
28413,7943,8090
28418,7921,8081
9495,7445,7096
9500,7498,7125
9505,7552,7173
9510,7605,7211
9515,7657,7250
9520,7709,7288
9525,7761,7337
9530,7811,7375
9535,7860,7414
9540,7907,7462
9545,7953,7500
9550,7997,7538
9555,8040,7577
9560,8080,7625
9565,8117,7674
9570,8153,7713
9575,8186,7751
9580,8216,7790
9585,8243,7829
9590,8267,7877
9595,8288,7926
9600,8306,7955
9605,8321,7993
9610,8333,8042
9615,8342,8081
9620,8347,8119
9625,8348,8265
9630,8347,8197
9635,8342,8216
9640,8334,8245
9645,8322,8274
9650,8307,8284
9655,8289,8303
9660,8268,8313
9665,8244,8313
9670,8217,8313
9675,8187,8303
9680,8154,8294
9685,8119,8284
9690,8081,8265
9695,8041,8245
9700,7999,8216
9705,7955,8197
9710,7909,8168
9715,7862,8139
9720,7813,8110
9725,7763,8071
9730,7712,8032
9735,7660,7984
9740,7607,7945
9745,7554,7906
9750,7501,7867
9755,7447,7829
9760,7394,7780
9765,7342,7751
9770,7290,7703
9775,7238,7664
9780,7188,7616
9785,7139,7577
9790,7092,7538
9795,7046,7491
9800,7002,7452
9805,6959,7414
9810,6919,7366
9815,6882,7327
9820,6846,7288
9825,6813,7250
9830,6783,7202
9835,6756,7163
9840,6732,7115
9845,6711,7076
9850,6693,7038
9855,6678,7009
9860,6666,6961
9865,6657,6922
9870,6652,6884
9875,6651,6835
9880,6652,6807
9885,6657,6768
9890,6665,6749
9895,6677,6720
9900,6692,6710
9905,6710,6691
9910,6731,6691
9915,6755,6691
9920,6782,6681
9925,6812,6701
9930,6845,6720
9935,6880,6729
9940,6918,6739
9945,6957,6758
9950,7000,6778
9955,7044,6807
9960,7090,6835
9965,7137,6864
9970,7186,6903
9975,7236,6932
9980,7287,6970
9985,7339,7009
9990,7392,7047
9995,7445,7086
10000,7498,7125
10005,7552,7173
10010,7605,7211
10015,7657,7250
10020,7709,7288
10025,7761,7337
10030,7811,7375
10035,7860,7423
10040,7907,7462
10045,7953,7500
10050,7997,7538
10055,8040,7577
10060,8080,7625
10065,8117,7674
10070,8153,7713
10075,8186,7751
10080,8216,7800
10085,8243,7838
10090,8267,7877
10095,8288,7916
10100,8306,7945
10105,8321,7993
10110,8333,8042
10115,8342,8081
10120,8347,8119
10125,8348,8158
10130,8347,8197
10135,8342,8226
10140,8334,8245
10145,8322,8274
10150,8307,8294
10155,8289,8303
10160,8268,8313
10165,8244,8313
10170,8217,8313
10175,8187,8303
10180,8154,8294
10185,8119,8284
10190,8081,8265
10195,8042,8245
10200,7999,8216
10205,7955,8197
10210,7910,8168
10215,7862,8129
10220,7813,8110
10225,7763,8061
10230,7712,8032
10235,7660,7993
10240,7607,7945
10245,7554,7906
10250,7501,7867
10255,7447,7829
10260,7394,7780
10265,7342,7751
10270,7290,7703
10275,7238,7664
10280,7188,7616
10285,7139,7577
10290,7092,7538
10295,7046,7491
10300,7002,7452
10305,6959,7414
10310,6919,7366
10315,6882,7327
10320,6846,7288
10325,6813,7250
10330,6783,7202
10335,6756,7163
10340,6732,7125
10345,6711,7086
10350,6693,7038
10355,6678,6999
10360,6666,6961
10365,6657,6922
10370,6652,6874
10375,6651,6845
10380,6652,6797
10385,6657,6768
10390,6665,6749
10395,6677,6720
10400,6692,6710
10405,6710,6701
10410,6731,6691
10415,6755,6691
10420,6782,6691
10425,6812,6701
10430,6845,6710
10435,6880,6720
10440,6918,6739
10445,6957,6758
10450,7000,6778
10455,7044,6807
10460,7089,6835
10465,7137,6864
10470,7186,6903
10475,7236,6932
10480,7287,6970
10485,7339,7009
10490,7392,7047
10495,7445,7086
10500,7498,7125
10505,7552,7173
10510,7605,7211
10515,7657,7260
10520,7709,7288
10525,7761,7337
10530,7811,7375
10535,7860,7423
10540,7907,7462
10545,7953,7500
10550,7997,7538
10555,8040,7577
10560,8080,7625
10565,8117,7674
10570,8153,7713
10575,8185,7751
10580,8216,7800
10585,8243,7838
10590,8267,7877
10595,8288,7926
10600,8306,7955
10605,8321,7993
10610,8333,8042
10615,8342,8081
10620,8347,8119
10625,8348,8158
10630,8347,8197
10635,8342,8226
10640,8334,8245
10645,8322,8274
10650,8307,8294
10655,8289,8303
10660,8268,8313
10665,8244,8313
10670,8217,8313
10675,8187,8303
10680,8154,8294
10685,8119,8274
10690,8082,8265
10695,8042,8235
10700,7999,8216
10705,7955,8187
10710,7910,8168
10715,7862,8139
10720,7813,8110
10725,7763,8071
10730,7712,8032
10735,7660,7984
10740,7607,7945
10745,7554,7906
10750,7501,7867
10755,7447,7829
10760,7394,7780
10765,7342,7751
10770,7290,7703
10775,7238,7664
10780,7188,7616
10785,7139,7577
10790,7092,7538
10795,7046,7491
10800,7002,7452
10805,6959,7414
10810,6919,7366
10815,6882,7327
10820,6846,7288
10825,6814,7250
10830,6783,7202
10835,6756,7163
10840,6732,7125
10845,6711,7086
10850,6693,7047
10855,6678,7009
10860,6666,6961
10865,6658,6922
10870,6652,6884
10875,6651,6845
10880,6652,6807
10885,6657,6768
10890,6665,6749
10895,6677,6729
10900,6692,6710
10905,6710,6701
10910,6731,6691
10915,6755,6691
10920,6782,6691
10925,6812,6691
10930,6845,6710
10935,6880,6720
10940,6917,6739
10945,6957,6749
10950,7000,6778
10955,7044,6807
10960,7089,6835
10965,7137,6864
10970,7186,6903
10975,7236,6932
10980,7287,6970
10985,7339,7009
10990,7392,7047
10995,7445,7086
11000,7498,7125
11005,7552,7173
11010,7605,7202
11015,7657,7250
11020,7709,7288
11025,7761,7337
11030,7811,7375
11035,7860,7423
11040,7907,7462
11045,7953,7500
11050,7997,7538
11055,8040,7577
11060,8080,7625
11065,8117,7674
11070,8153,7713
11075,8185,7751
11080,8216,7800
11085,8243,7829
11090,8267,7867
11095,8288,7916
11100,8306,7945
11105,8321,7993
11110,8333,8042
11115,8341,8081
11120,8347,8119
11125,8348,8158
11130,8347,8197
11135,8342,8216
11140,8334,8245
11145,8322,8274
11150,8307,8284
11155,8289,8303
11160,8268,8313
11165,8244,8313
11170,8217,8313
11175,8187,8313
11180,8154,8294
11185,8119,8255
11190,8082,8265
11195,8042,8245
11200,7999,8216
11205,7955,8187
11210,7910,8168
11215,7862,8129
11220,7813,8110
11225,7763,8071
11230,7712,8032
11235,7660,7984
11240,7607,7945
11245,7554,7906
11250,7501,7867
11255,7447,7829
11260,7394,7780
11265,7342,7751
11270,7290,7703
11275,7238,7664
11280,7188,7616
11285,7139,7577
11290,7092,7538
11295,7046,7491
11300,7002,7452
11305,6959,7414
11310,6919,7366
11315,6882,7327
11320,6846,7288
11325,6814,7250
11330,6783,7202
11335,6756,7163
11340,6732,7125
11345,6711,7076
11350,6693,7038
11355,6678,7009
11360,6666,6961
11365,6658,6922
11370,6652,6884
11375,6651,6845
11380,6652,6807
11385,6657,6797
11390,6665,6749
11395,6677,6729
11400,6692,6710
11405,6710,6701
11410,6731,6691
11415,6755,6691
11420,6782,6681
11425,6812,6701
11430,6845,6720
11435,6880,6729
11440,6917,6739
11445,6957,6758
11450,6999,6787
11455,7044,6807
11460,7089,6835
11465,7137,6864
11470,7186,6903
11475,7236,6932
11480,7287,6970
11485,7339,7009
11490,7392,7047
11495,7445,7086
11500,7498,7125
11505,7551,7173
11510,7605,7211
11515,7657,7250
11520,7709,7288
11525,7761,7337
11530,7811,7375
11535,7860,7423
11540,7907,7462
11545,7953,7491
11550,7997,7538
11555,8040,7577
11560,8080,7625
11565,8117,7674
11570,8153,7713
11575,8185,7751
11580,8215,7800
11585,8243,7838
11590,8267,7877
11595,8288,7926
11600,8306,7945
11605,8321,7993
11610,8333,8042
11615,8341,8081
11620,8347,8119
11625,8348,8158
11630,8347,8197
11635,8342,8216
11640,8334,8245
11645,8322,8274
11650,8307,8284
11655,8289,8303
11660,8268,8313
11665,8244,8313
11670,8217,8313
11675,8187,8303
11680,8154,8294
11685,8119,8284
11690,8082,8265
11695,8042,8245
11700,8000,8216
11705,7955,8187
11710,7910,8168
11715,7862,8129
11720,7813,8100
11725,7763,8061
11730,7712,8032
11735,7660,7993
11740,7607,7945
11745,7554,7906
11750,7501,7867
11755,7448,7829
11760,7394,7790
11765,7342,7751
11770,7290,7703
11775,7238,7664
11780,7188,7616
11785,7139,7577
11790,7092,7538
11795,7046,7500
11800,7002,7452
11805,6959,7414
11810,6919,7366
11815,6882,7327
11820,6846,7288
11825,6814,7250
11830,6784,7202
11835,6756,7163
11840,6732,7125
11845,6711,7086
11850,6693,7038
11855,6678,6999
11860,6666,6961
11865,6658,6922
11870,6652,6884
11875,6651,6845
11880,6652,6807
11885,6657,6768
11890,6665,6749
11895,6677,6720
11900,6692,6710
11905,6710,6701
11910,6731,6691
11915,6755,6691
11920,6782,6681
11925,6812,6691
11930,6845,6710
11935,6880,6720
11940,6917,6739
11945,6957,6758
11950,6999,6787
11955,7044,6807
11960,7089,6835
11965,7137,6864
11970,7186,6903
11975,7236,6932
11980,7287,6980
11985,7339,7009
11990,7392,7047
11995,7445,7086
12000,7498,7125
12005,7551,7173
12010,7605,7211
12015,7657,7260
12020,7709,7288
12025,7761,7327
12030,7811,7375
12035,7860,7423
12040,7907,7462
12045,7953,7500
12050,7997,7538
12055,8040,7587
12060,8080,7625
12065,8117,7674
12070,8153,7713
12075,8185,7751
12080,8215,7800
12085,8243,7829
12090,8267,7877
12095,8288,7926
12100,8306,7955
12105,8321,8003
12110,8333,8042
12115,8341,8081
12120,8347,8119
12125,8348,8158
12130,8347,8197
12135,8342,8216
12140,8334,8245
12145,8322,8274
12150,8307,8284
12155,8289,8303
12160,8268,8313
12165,8244,8313
12170,8217,8303
12175,8187,8303
12180,8154,8294
12185,8119,8274
12190,8082,8265
12195,8042,8245
12200,8000,8216
12205,7955,8197
12210,7910,8168
12215,7862,8129
12220,7813,8110
12225,7763,8061
12230,7712,8022
12235,7660,7984
12240,7607,7945
12245,7554,7906
12250,7501,7867
12255,7448,7829
12260,7394,7790
12265,7342,7751
12270,7290,7703
12275,7238,7664
12280,7188,7616
12285,7139,7577
12290,7092,7538
12295,7046,7491
12300,7002,7452
12305,6959,7414
12310,6919,7366
12315,6882,7327
12320,6846,7288
12325,6814,7250
12330,6784,7202
12335,6756,7163
12340,6732,7125
12345,6711,7086
12350,6693,7038
12355,6678,6999
12360,6666,6961
12365,6658,6922
12370,6652,6884
12375,6651,6835
12380,6652,6807
12385,6657,6768
12390,6665,6749
12395,6677,6720
12400,6692,6710
12405,6710,6701
12410,6731,6691
12415,6755,6691
12420,6782,6691
12425,6812,6691
12430,6845,6710
12435,6880,6720
12440,6917,6749
12445,6957,6758
12450,6999,6787
12455,7043,6807
12460,7089,6835
12465,7137,6864
12470,7186,6903
12475,7236,6941
12480,7287,6970
12485,7339,7009
12490,7392,7047
12495,7445,7086
12500,7498,7125
12505,7551,7173
12510,7605,7211
12515,7657,7250
12520,7709,7288
12525,7760,7337
12530,7811,7375
12535,7860,7423
12540,7907,7462
12545,7953,7500
12550,7997,7538
12555,8039,7577
12560,8080,7625
12565,8117,7674
12570,8153,7713
12575,8185,7751
12580,8215,7800
12585,8243,7838
12590,8267,7877
12595,8288,7926
12600,8306,7955
12605,8321,7993
12610,8333,8042
12615,8341,8081
12620,8347,8119
12625,8348,8158
12630,8347,8197
12635,8342,8216
12640,8334,8255
12645,8322,8274
12650,8307,8284
12655,8289,8303
12660,8268,8303
12665,8244,8313
12670,8217,8313
12675,8187,8303
12680,8154,8294
12685,8119,8274
12690,8082,8265
12695,8042,8245
12700,8000,8216
12705,7956,8187
12710,7910,8168
12715,7862,8129
12720,7813,8100
12725,7763,8061
12730,7712,8022
12735,7660,7993
12740,7607,7945
12745,7554,7906
12750,7501,7867
12755,7448,7829
12760,7395,7780
12765,7342,7751
12770,7290,7703
12775,7239,7674
12780,7188,7616
12785,7139,7577
12790,7092,7538
12795,7046,7491
12800,7002,7452
12805,6960,7414
12810,6919,7366
12815,6882,7327
12820,6846,7288
12825,6814,7250
12830,6784,7202
12835,6756,7163
12840,6732,7125
12845,6711,7086
12850,6693,7038
12855,6678,6999
12860,6666,6961
12865,6658,6922
12870,6652,6884
12875,6651,6845
12880,6652,6807
12885,6657,6768
12890,6665,6749
12895,6677,6729
12900,6692,6710
12905,6710,6720
12910,6731,6691
12915,6755,6691
12920,6782,6691
