theta,desired,actual
11435,7827,7481
11440,7202,7500
11445,6738,7529
11450,6687,7538
11455,7077,7519
11460,7695,7491
11465,8208,7472
11470,8336,7462
11475,8011,7481
11480,7409,7500
11485,6856,7538
11490,6651,7538
11495,6907,7529
6830,6651,7538
6835,6891,7529
6840,7487,7500
6845,8091,7481
6850,8348,7472
6855,8108,7481
6860,7512,7500
6865,6908,7529
6870,6651,7538
6875,6891,7529
6880,7487,7500
6885,8091,7481
6890,8348,7472
6895,8108,7481
6900,7512,7500
6905,6908,7529
6910,6651,7538
6915,6890,7529
6920,7487,7491
6925,8091,7481
6930,8348,7472
6935,8109,7481
6940,7512,7491
6945,6908,7529
6950,6651,7538
6955,6890,7519
6960,7487,7491
6965,8091,7481
6970,8348,7462
6975,8108,7481
6980,7512,7500
6985,6908,7529
6990,6651,7538
6995,6890,7529
7000,7487,7500
7005,8091,7481
7010,8348,7472
7015,8109,7481
7020,7512,7500
7025,6908,7529
7030,6651,7538
7035,6890,7529
7040,7487,7500
7045,8091,7481
7050,8348,7472
7055,8109,7481
7060,7512,7491
7065,6908,7529
7070,6651,7538
7075,6890,7519
7080,7487,7491
7085,8091,7472
7090,8348,7462
7095,8109,7481
7100,7512,7500
7105,6908,7529
7110,6651,7538
7115,6890,7529
7120,7487,7500
7125,8091,7481
7130,8348,7472
7135,8109,7481
7140,7512,7500
7145,6908,7529
7150,6651,7538
7155,6890,7529
7160,7487,7500
7165,8091,7481
7170,8348,7472
7175,8109,7481
7180,7512,7500
7185,6908,7529
7190,6651,7538
7195,6890,7529
7200,7487,7500
7205,8091,7481
7210,8348,7472
7215,8109,7481
7220,7512,7500
7225,6908,7529
7230,6651,7538
7235,6890,7529
7240,7487,7500
7245,8091,7481
7250,8348,7472
7255,8109,7481
7260,7512,7491
7265,6908,7519
7270,6651,7538
7275,6890,7529
7280,7487,7491
7285,8091,7481
7290,8348,7462
7295,8109,7481
7300,7512,7491
7305,6908,7529
7310,6651,7538
7315,6890,7529
7320,7487,7500
7325,8091,7481
7330,8348,7472
7335,8109,7481
7340,7512,7500
7345,6908,7529
7350,6651,7538
7355,6890,7529
7360,7487,7500
7365,8091,7481
7370,8348,7472
7375,8109,7481
7380,7512,7491
7385,6908,7529
7390,6651,7538
7395,6890,7529
7400,7487,7500
7405,8091,7481
7410,8348,7472
7415,8109,7481
7420,7512,7500
7425,6908,7529
7430,6651,7538
7435,6890,7529
7440,7487,7500
7445,8091,7481
7450,8348,7472
7455,8109,7481
7460,7512,7500
7465,6908,7529
7470,6651,7538
7475,6890,7529
7480,7487,7500
7485,8091,7481
7490,8348,7472
7495,8109,7481
7500,7513,7500
7505,6909,7529
7510,6651,7538
7515,6890,7529
7520,7486,7491
7525,8090,7481
7530,8348,7472
7535,8109,7481
7540,7513,7500
7545,6909,7529
7550,6651,7538
7555,6890,7529
7560,7487,7500
7565,8090,7481
7570,8348,7472
7575,8109,7481
7580,7513,7491
7585,6909,7529
7590,6651,7538
7595,6890,7529
7600,7486,7500
7605,8090,7481
7610,8348,7472
7615,8109,7481
7620,7513,7500
7625,6909,7529
7630,6651,7538
7635,6890,7529
7640,7486,7500
7645,8090,7481
7650,8348,7472
7655,8109,7481
7660,7513,7491
7665,6909,7529
7670,6651,7538
7675,6890,7529
7680,7486,7500
7685,8090,7481
7690,8348,7472
7695,8109,7481
7700,7513,7500
7705,6909,7529
7710,6651,7538
7715,6890,7529
7720,7486,7500
7725,8090,7481
7730,8348,7472
7735,8109,7481
7740,7513,7491
7745,6909,7529
7750,6651,7529
7755,6890,7519
7760,7486,7491
7765,8090,7472
7770,8348,7462
7775,8109,7472
7780,7513,7491
7785,6909,7529
7790,6651,7529
7795,6890,7519
7800,7486,7491
7805,8090,7481
7810,8348,7462
7815,8109,7481
7820,7513,7491
7825,6909,7529
7830,6651,7538
7835,6890,7529
7840,7486,7491
7845,8090,7481
7850,8348,7472
7855,8109,7481
7860,7513,7491
7865,6909,7529
7870,6651,7529
7875,6890,7529
7880,7486,7500
7885,8090,7481
7890,8348,7472
7895,8109,7481
7900,7513,7500
7905,6909,7529
7910,6651,7538
7915,6890,7529
7920,7486,7500
7925,8090,7481
7930,8348,7472
7935,8109,7481
7940,7513,7500
7945,6909,7529
7950,6651,7538
7955,6890,7529
7960,7486,7500
7965,8090,7481
7970,8348,7472
7975,8109,7481
7980,7513,7491
7985,6909,7529
7990,6651,7538
7995,6890,7519
8000,7486,7500
8005,8090,7481
8010,8348,7472
8015,8109,7481
8020,7513,7491
8025,6909,7529
8030,6651,7538
8035,6890,7519
8040,7486,7491
8045,8090,7481
8050,8348,7462
8055,8109,7481
